customer_id,lat,lon,city,demand_weight,demand_volume,ready_time,due_time,service_time,priority,delivery_type,is_return,ready_time_min,due_time_min,region_id
C022556,10.000415,105.753253,Can Tho,18.39,0.042,15:00,18:00,12.0,3,Home,0,900,1080,CTO
C037698,10.075967,105.689714,Can Tho,20.79,0.208,15:00,18:00,11.0,2,Home,0,900,1080,CTO
C022668,10.04019,105.799685,Can Tho,19.43,0.029,17:00,21:00,12.0,3,Home,0,1020,1260,CTO
C046723,10.011231,105.798474,Can Tho,5.61,0.071,10:00,18:00,9.0,1,Home,0,600,1080,CTO
C026884,10.063122,105.688044,Can Tho,24.39,0.107,17:00,21:00,15.0,3,Home,0,1020,1260,CTO
C033615,10.082651,105.735134,Can Tho,11.35,0.232,17:00,20:00,14.0,2,Home,0,1020,1200,CTO
C017850,10.09166,105.79159,Can Tho,24.21,0.053,08:00,12:00,12.0,2,Locker,0,480,720,CTO
C009628,10.093548,105.763351,Can Tho,2.33,0.011,10:00,16:00,3.0,2,Home,0,600,960,CTO
C001270,10.086652,105.80489,Can Tho,14.41,0.217,08:00,11:00,7.0,3,Home,0,480,660,CTO
C043842,10.013456,105.783651,Can Tho,10.2,0.066,17:00,21:00,3.0,2,Home,0,1020,1260,CTO
C006597,10.067254,105.798886,Can Tho,24.55,0.146,08:00,16:00,13.0,1,Home,0,480,960,CTO
C017944,9.994773,105.697632,Can Tho,8.28,0.244,09:00,16:00,6.0,3,Home,0,540,960,CTO
C039635,10.014975,105.759623,Can Tho,16.82,0.115,17:00,21:00,12.0,2,Home,1,1020,1260,CTO
C033832,10.040506,105.689846,Can Tho,11.42,0.16,17:00,20:00,10.0,2,Home,1,1020,1200,CTO
C008562,10.052973,105.693882,Can Tho,11.28,0.066,08:00,11:00,7.0,2,Home,0,480,660,CTO
C018364,10.093685,105.703094,Can Tho,21.57,0.176,08:00,16:00,14.0,2,Home,0,480,960,CTO
C031960,9.998983,105.725409,Can Tho,4.35,0.233,08:00,11:00,12.0,2,Home,1,480,660,CTO
C023626,10.01151,105.725711,Can Tho,5.4,0.19,09:00,12:00,15.0,1,Home,0,540,720,CTO
C015561,10.094485,105.695913,Can Tho,12.85,0.219,08:00,12:00,6.0,2,Locker,0,480,720,CTO
C049748,10.098476,105.768268,Can Tho,10.19,0.102,17:00,20:00,13.0,2,Locker,0,1020,1200,CTO
C023289,10.094849,105.726716,Can Tho,14.7,0.18,10:00,18:00,7.0,2,Home,0,600,1080,CTO
