origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions,source_file
C000007,D004_1,6.502,24.0,High,,roads_D004_1.csv
C000007,D004_2,7.066,16.3,Low,No Heavy Trucks,roads_D004_2.csv
C000007,D004_3,4.8,13.8,Medium,,roads_D004_3.csv
C000007,D004_4,8.117,30.0,High,No Heavy Trucks,roads_D004_4.csv
C000007,D010_1,390.145,1170.4,Medium,,roads_D010_1.csv
C000007,D010_2,386.817,1160.5,Medium,,roads_D010_2.csv
C000007,D010_3,385.042,1155.1,Medium,,roads_D010_3.csv
C000007,D010_4,386.749,928.2,Low,,roads_D010_4.csv
C000007,D010_5,385.908,1157.7,Medium,,roads_D010_5.csv
C000126,D004_1,0.56,2.1,High,,roads_D004_1.csv
C000126,D004_2,1.073,3.1,Medium,,roads_D004_2.csv
C000126,D004_3,2.225,5.1,Low,,roads_D004_3.csv
C000126,D004_4,1.447,5.3,High,,roads_D004_4.csv
C000126,D004_5,1.149,3.3,Medium,,roads_D004_5.csv
C000126,D010_1,386.937,1160.8,Medium,,roads_D010_1.csv
C000126,D010_2,383.627,1150.9,Medium,,roads_D010_2.csv
C000126,D010_4,383.553,1150.7,Medium,,roads_D010_4.csv
C000126,D010_5,382.697,918.5,Low,,roads_D010_5.csv
C000135,D004_2,4.698,10.8,Low,,roads_D004_2.csv
C000135,D004_3,5.816,21.5,High,,roads_D004_3.csv
C000135,D004_4,6.963,16.1,Low,,roads_D004_4.csv
C000135,D004_5,6.73,19.4,Medium,,roads_D004_5.csv
C000135,D010_1,392.572,942.2,Low,,roads_D010_1.csv
C000135,D010_2,389.263,1167.8,Medium,,roads_D010_2.csv
C000135,D010_3,387.45,1487.8,High,,roads_D010_3.csv
C000135,D010_4,389.189,1167.6,Medium,,roads_D010_4.csv
C000135,D010_5,388.331,1165.0,Medium,,roads_D010_5.csv
C000143,D004_1,4.874,11.2,Low,,roads_D004_1.csv
C000143,D004_2,5.002,11.5,Low,,roads_D004_2.csv
C000143,D004_3,6.014,17.3,Medium,,roads_D004_3.csv
C000143,D004_5,3.179,9.2,Medium,,roads_D004_5.csv
C000143,D010_2,379.776,1139.3,Medium,,roads_D010_2.csv
C000143,D010_3,377.956,1133.9,Medium,,roads_D010_3.csv
C000143,D010_4,379.7,1139.1,Medium,No Heavy Trucks,roads_D010_4.csv
C000143,D010_5,378.84,909.2,Low,,roads_D010_5.csv
C000222,D004_1,3.649,8.4,Low,,roads_D004_1.csv
C000222,D004_2,2.798,8.1,Medium,,roads_D004_2.csv
C000222,D004_3,5.497,12.7,Low,,roads_D004_3.csv
C000222,D004_4,3.848,14.2,High,,roads_D004_4.csv
C000222,D004_5,3.836,11.1,Medium,,roads_D004_5.csv
C000222,D010_1,388.363,932.1,Low,,roads_D010_1.csv
C000222,D010_2,385.062,924.1,Low,,roads_D010_2.csv
C000222,D010_3,383.234,919.8,Low,,roads_D010_3.csv
C000222,D010_4,384.985,924.0,Low,,roads_D010_4.csv
C000222,D010_5,384.121,1475.0,High,,roads_D010_5.csv
C000243,D004_1,1.895,5.5,Medium,,roads_D004_1.csv
C000243,D004_2,2.101,6.1,Medium,,roads_D004_2.csv
C000243,D004_3,3.302,12.2,High,No Heavy Trucks,roads_D004_3.csv
C000243,D004_4,0.195,0.6,Medium,,roads_D004_4.csv
C000243,D004_5,0.306,1.1,High,,roads_D004_5.csv
C000243,D010_1,385.781,1157.3,Medium,,roads_D010_1.csv
C000243,D010_2,382.473,1147.4,Medium,,roads_D010_2.csv
C000243,D010_3,380.66,913.6,Low,,roads_D010_3.csv
C000243,D010_4,382.398,1147.2,Medium,,roads_D010_4.csv
C000243,D010_5,381.541,1144.6,Medium,,roads_D010_5.csv
C000263,D004_1,6.483,18.7,Medium,,roads_D004_1.csv
C000263,D004_2,6.392,14.8,Low,,roads_D004_2.csv
C000263,D004_3,7.865,18.2,Low,,roads_D004_3.csv
C000263,D004_4,4.573,10.6,Low,,roads_D004_4.csv
C000263,D004_5,4.888,14.1,Medium,No Heavy Trucks,roads_D004_5.csv
C000263,D010_3,377.314,905.6,Low,No Heavy Trucks,roads_D010_3.csv
C000263,D010_5,378.203,1134.6,Medium,,roads_D010_5.csv
C000287,D004_1,2.549,7.4,Medium,,roads_D004_1.csv
C000287,D004_2,1.977,5.7,Medium,,roads_D004_2.csv
C000287,D004_4,2.098,6.1,Medium,,roads_D004_4.csv
C000287,D004_5,2.138,6.2,Medium,,roads_D004_5.csv
C000287,D010_1,386.899,928.6,Low,,roads_D010_1.csv
C000287,D010_2,383.595,1150.8,Medium,No Heavy Trucks,roads_D010_2.csv
C000287,D010_3,381.773,916.3,Low,,roads_D010_3.csv
C000287,D010_4,383.519,1150.6,Medium,,roads_D010_4.csv
C000287,D010_5,382.658,1148.0,Medium,,roads_D010_5.csv
C000316,D004_1,4.529,10.5,Low,,roads_D004_1.csv
C000316,D004_2,4.178,9.6,Low,,roads_D004_2.csv
C000316,D004_3,4.817,13.9,Medium,,roads_D004_3.csv
