origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions,source_file
C000008,D002_1,8.489,31.8,Medium,,roads_D002_1.csv
C000008,D002_2,12.619,47.3,Medium,,roads_D002_2.csv
C000008,D002_3,9.214,34.6,Medium,,roads_D002_3.csv
C000008,D002_4,11.012,52.9,High,,roads_D002_4.csv
C000008,D002_5,7.277,27.3,Medium,No Heavy Trucks,roads_D002_5.csv
C000008,D005_1,83.054,259.5,Medium,No Heavy Trucks,roads_D005_1.csv
C000008,D005_3,82.965,207.4,Low,,roads_D005_3.csv
C000008,D005_4,84.174,336.7,High,,roads_D005_4.csv
C000008,D005_5,82.544,206.4,Low,,roads_D005_5.csv
C000050,D002_1,14.53,54.5,Medium,,roads_D002_1.csv
C000050,D002_2,15.279,45.8,Low,,roads_D002_2.csv
C000050,D002_3,12.584,47.2,Medium,,roads_D002_3.csv
C000050,D002_4,14.104,67.7,High,,roads_D002_4.csv
C000050,D002_5,15.346,57.5,Medium,No Heavy Trucks,roads_D002_5.csv
C000050,D005_1,97.457,304.6,Medium,,roads_D005_1.csv
C000050,D005_2,97.872,305.8,Medium,,roads_D005_2.csv
C000050,D005_3,97.502,304.7,Medium,,roads_D005_3.csv
C000050,D005_4,98.652,246.6,Low,No Heavy Trucks,roads_D005_4.csv
C000050,D005_5,97.063,303.3,Medium,,roads_D005_5.csv
C000118,D002_2,19.424,72.8,Medium,,roads_D002_2.csv
C000118,D002_3,16.412,61.5,Medium,No Heavy Trucks,roads_D002_3.csv
C000118,D002_4,17.968,53.9,Low,,roads_D002_4.csv
C000118,D005_1,76.086,237.8,Medium,,roads_D005_1.csv
C000118,D005_2,76.504,306.0,High,,roads_D005_2.csv
C000118,D005_3,76.126,237.9,Medium,No Heavy Trucks,roads_D005_3.csv
C000118,D005_4,77.274,193.2,Low,,roads_D005_4.csv
C000118,D005_5,75.685,189.2,Low,,roads_D005_5.csv
C000131,D002_1,9.157,44.0,High,,roads_D002_1.csv
C000131,D002_2,13.21,49.5,Medium,,roads_D002_2.csv
C000131,D002_3,10.781,51.7,High,,roads_D002_3.csv
C000131,D002_4,11.942,57.3,High,,roads_D002_4.csv
C000131,D002_5,7.488,35.9,High,,roads_D002_5.csv
C000131,D005_1,79.639,199.1,Low,No Heavy Trucks,roads_D005_1.csv
C000131,D005_2,80.087,200.2,Low,,roads_D005_2.csv
C000131,D005_3,79.415,198.5,Low,,roads_D005_3.csv
C000131,D005_4,80.683,201.7,Low,,roads_D005_4.csv
C000131,D005_5,79.012,316.0,High,,roads_D005_5.csv
C000144,D002_1,10.916,40.9,Medium,No Heavy Trucks,roads_D002_1.csv
C000144,D002_2,13.686,41.1,Low,No Heavy Trucks,roads_D002_2.csv
