origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions,source_file
C000079,D001_1,9.24,31.5,Medium,,roads_D001_1.csv
C000079,D001_2,3.85,13.1,Medium,No Heavy Trucks,roads_D001_2.csv
C000079,D001_3,7.791,34.0,High,,roads_D001_3.csv
C000079,D001_4,8.759,23.9,Low,,roads_D001_4.csv
C000079,D001_5,7.615,26.0,Medium,No Heavy Trucks,roads_D001_5.csv
C000079,D008_1,29.099,116.4,High,,roads_D008_1.csv
C000079,D008_3,33.315,133.3,High,,roads_D008_3.csv
C000079,D008_4,30.104,75.3,Low,,roads_D008_4.csv
C000079,D008_5,34.014,85.0,Low,,roads_D008_5.csv
C000079,D009_1,66.982,154.6,Low,,roads_D009_1.csv
C000079,D009_2,64.694,186.6,Medium,,roads_D009_2.csv
C000079,D009_3,65.845,151.9,Low,,roads_D009_3.csv
C000079,D009_4,65.934,190.2,Medium,,roads_D009_4.csv
C000079,D009_5,66.831,154.2,Low,,roads_D009_5.csv
C000081,D001_1,12.423,54.2,High,,roads_D001_1.csv
C000081,D001_2,9.005,30.7,Medium,,roads_D001_2.csv
C000081,D001_3,12.674,34.6,Low,,roads_D001_3.csv
C000081,D001_4,11.583,39.5,Medium,,roads_D001_4.csv
C000081,D001_5,10.816,47.2,High,,roads_D001_5.csv
C000081,D008_1,32.213,80.5,Low,,roads_D008_1.csv
C000081,D008_2,36.487,91.2,Low,,roads_D008_2.csv
C000081,D008_3,36.644,114.5,Medium,,roads_D008_3.csv
C000081,D008_4,32.842,131.4,High,,roads_D008_4.csv
C000081,D008_5,36.872,92.2,Low,,roads_D008_5.csv
C000081,D009_1,59.463,137.2,Low,,roads_D009_1.csv
C000081,D009_2,57.166,211.1,High,,roads_D009_2.csv
C000081,D009_3,58.332,134.6,Low,,roads_D009_3.csv
C000081,D009_4,58.405,168.5,Medium,,roads_D009_4.csv
C000081,D009_5,59.241,170.9,Medium,No Heavy Trucks,roads_D009_5.csv
C000099,D001_1,11.177,48.8,High,,roads_D001_1.csv
C000099,D001_2,5.793,19.7,Medium,,roads_D001_2.csv
C000099,D001_3,9.723,42.4,High,,roads_D001_3.csv
C000099,D001_4,10.676,36.4,Medium,,roads_D001_4.csv
C000099,D001_5,9.535,32.5,Medium,,roads_D001_5.csv
C000099,D008_2,35.047,87.6,Low,,roads_D008_2.csv
C000099,D008_3,35.24,110.1,Medium,,roads_D008_3.csv
C000099,D008_4,32.049,128.2,High,,roads_D008_4.csv
C000099,D008_5,35.955,112.4,Medium,,roads_D008_5.csv
C000099,D009_1,67.184,155.0,Low,,roads_D009_1.csv
