origin_index,destination_index,origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions
853,0,C000007,D004_1,6.502,24.0,High,
853,1,C000007,D004_2,7.066,16.3,Low,No Heavy Trucks
853,2,C000007,D004_3,4.8,13.8,Medium,
853,3,C000007,D004_4,8.117,30.0,High,No Heavy Trucks
853,5,C000007,D010_1,390.145,1170.4,Medium,
853,6,C000007,D010_2,386.817,1160.5,Medium,
853,7,C000007,D010_3,385.042,1155.1,Medium,
853,8,C000007,D010_4,386.749,928.2,Low,
853,9,C000007,D010_5,385.908,1157.7,Medium,
567,0,C000126,D004_1,0.56,2.1,High,
567,1,C000126,D004_2,1.073,3.1,Medium,
567,2,C000126,D004_3,2.225,5.1,Low,
567,3,C000126,D004_4,1.447,5.3,High,
567,4,C000126,D004_5,1.149,3.3,Medium,
567,5,C000126,D010_1,386.937,1160.8,Medium,
567,6,C000126,D010_2,383.627,1150.9,Medium,
567,8,C000126,D010_4,383.553,1150.7,Medium,
567,9,C000126,D010_5,382.697,918.5,Low,
990,1,C000135,D004_2,4.698,10.8,Low,
990,2,C000135,D004_3,5.816,21.5,High,
990,3,C000135,D004_4,6.963,16.1,Low,
990,4,C000135,D004_5,6.73,19.4,Medium,
990,5,C000135,D010_1,392.572,942.2,Low,
990,6,C000135,D010_2,389.263,1167.8,Medium,
990,7,C000135,D010_3,387.45,1487.8,High,
990,8,C000135,D010_4,389.189,1167.6,Medium,
990,9,C000135,D010_5,388.331,1165.0,Medium,
77,0,C000143,D004_1,4.874,11.2,Low,
77,1,C000143,D004_2,5.002,11.5,Low,
77,2,C000143,D004_3,6.014,17.3,Medium,
77,4,C000143,D004_5,3.179,9.2,Medium,
77,6,C000143,D010_2,379.776,1139.3,Medium,
77,7,C000143,D010_3,377.956,1133.9,Medium,
77,8,C000143,D010_4,379.7,1139.1,Medium,No Heavy Trucks
77,9,C000143,D010_5,378.84,909.2,Low,
390,0,C000222,D004_1,3.649,8.4,Low,
390,1,C000222,D004_2,2.798,8.1,Medium,
390,2,C000222,D004_3,5.497,12.7,Low,
390,3,C000222,D004_4,3.848,14.2,High,
390,4,C000222,D004_5,3.836,11.1,Medium,
390,5,C000222,D010_1,388.363,932.1,Low,
390,6,C000222,D010_2,385.062,924.1,Low,
390,7,C000222,D010_3,383.234,919.8,Low,
390,8,C000222,D010_4,384.985,924.0,Low,
390,9,C000222,D010_5,384.121,1475.0,High,
72,0,C000243,D004_1,1.895,5.5,Medium,
72,1,C000243,D004_2,2.101,6.1,Medium,
72,2,C000243,D004_3,3.302,12.2,High,No Heavy Trucks
72,3,C000243,D004_4,0.195,0.6,Medium,
72,4,C000243,D004_5,0.306,1.1,High,
72,5,C000243,D010_1,385.781,1157.3,Medium,
72,6,C000243,D010_2,382.473,1147.4,Medium,
72,7,C000243,D010_3,380.66,913.6,Low,
72,8,C000243,D010_4,382.398,1147.2,Medium,
72,9,C000243,D010_5,381.541,1144.6,Medium,
265,0,C000263,D004_1,6.483,18.7,Medium,
265,1,C000263,D004_2,6.392,14.8,Low,
265,2,C000263,D004_3,7.865,18.2,Low,
265,3,C000263,D004_4,4.573,10.6,Low,
265,4,C000263,D004_5,4.888,14.1,Medium,No Heavy Trucks
265,7,C000263,D010_3,377.314,905.6,Low,No Heavy Trucks
265,9,C000263,D010_5,378.203,1134.6,Medium,
1853,0,C000287,D004_1,2.549,7.4,Medium,
1853,1,C000287,D004_2,1.977,5.7,Medium,
1853,3,C000287,D004_4,2.098,6.1,Medium,
1853,4,C000287,D004_5,2.138,6.2,Medium,
1853,5,C000287,D010_1,386.899,928.6,Low,
1853,6,C000287,D010_2,383.595,1150.8,Medium,No Heavy Trucks
1853,7,C000287,D010_3,381.773,916.3,Low,
1853,8,C000287,D010_4,383.519,1150.6,Medium,
1853,9,C000287,D010_5,382.658,1148.0,Medium,
1246,0,C000316,D004_1,4.529,10.5,Low,
1246,1,C000316,D004_2,4.178,9.6,Low,
1246,2,C000316,D004_3,4.817,13.9,Medium,
1246,4,C000316,D004_5,6.157,17.8,Medium,
1246,5,C000316,D010_1,391.963,1175.9,Medium,
1246,6,C000316,D010_2,388.652,1166.0,Medium,
1246,7,C000316,D010_3,386.844,1485.5,High,
1246,8,C000316,D010_4,388.578,1165.7,Medium,
211,0,C000318,D004_1,3.735,10.8,Medium,
211,1,C000318,D004_2,3.296,9.5,Medium,
211,2,C000318,D004_3,4.31,12.4,Medium,
211,3,C000318,D004_4,5.558,12.8,Low,No Heavy Trucks
211,5,C000318,D010_1,391.15,1173.4,Medium,
211,6,C000318,D010_2,387.84,930.8,Low,
211,7,C000318,D010_3,386.029,926.5,Low,
211,8,C000318,D010_4,387.765,1163.3,Medium,No Heavy Trucks
211,9,C000318,D010_5,386.91,928.6,Low,No Heavy Trucks
1018,0,C000330,D004_1,2.283,8.4,High,
1018,1,C000330,D004_2,2.059,4.8,Low,
1018,2,C000330,D004_3,2.818,8.1,Medium,
1018,3,C000330,D004_4,4.221,12.2,Medium,
1018,4,C000330,D004_5,3.942,9.1,Low,
1018,5,C000330,D010_1,389.713,935.3,Low,
1018,6,C000330,D010_2,386.401,1159.2,Medium,
1018,7,C000330,D010_3,384.594,1476.8,High,
1018,8,C000330,D010_4,386.328,927.2,Low,
1018,9,C000330,D010_5,385.473,925.1,Low,
308,0,C000341,D004_1,5.791,13.4,Low,
308,1,C000341,D004_2,6.542,18.9,Medium,
308,2,C000341,D004_3,3.898,9.0,Low,
308,3,C000341,D004_4,7.009,20.2,Medium,
308,4,C000341,D004_5,6.735,19.4,Medium,
308,5,C000341,D010_1,388.024,1164.1,Medium,
308,6,C000341,D010_2,384.697,1477.2,High,
308,7,C000341,D010_3,382.921,919.0,Low,
308,8,C000341,D010_4,384.628,1153.9,Medium,
308,9,C000341,D010_5,383.788,1151.4,Medium,
584,0,C000393,D004_1,4.146,9.6,Low,
584,1,C000393,D004_2,4.854,14.0,Medium,
584,2,C000393,D004_3,2.296,6.6,Medium,No Heavy Trucks
584,3,C000393,D004_4,5.566,16.1,Medium,
584,4,C000393,D004_5,5.271,12.2,Low,
584,5,C000393,D010_1,388.281,1164.8,Medium,
584,6,C000393,D010_2,384.958,1478.2,High,
584,7,C000393,D010_3,383.173,1149.5,Medium,
584,8,C000393,D010_4,384.889,1154.7,Medium,
549,0,C000403,D004_1,3.182,7.3,Low,
549,1,C000403,D004_2,4.074,11.8,Medium,
549,2,C000403,D004_3,1.793,5.2,Medium,
549,3,C000403,D004_4,3.666,13.5,High,
549,4,C000403,D004_5,3.445,9.9,Medium,
549,5,C000403,D010_1,385.971,926.3,Low,
549,6,C000403,D010_2,382.651,1148.0,Medium,
549,8,C000403,D010_4,382.58,918.2,Low,
549,9,C000403,D010_5,381.732,916.2,Low,
1040,0,C000413,D004_1,1.291,3.0,Low,No Heavy Trucks
1040,2,C000413,D004_3,1.231,2.8,Low,
1040,3,C000413,D004_4,2.114,4.9,Low,
1040,4,C000413,D004_5,1.82,5.3,Medium,
1040,5,C000413,D010_1,386.641,927.9,Low,
1040,6,C000413,D010_2,383.326,920.0,Low,
1040,8,C000413,D010_4,383.254,1471.7,High,
1040,9,C000413,D010_5,382.401,1468.4,High,
103,0,C000423,D004_1,4.657,10.7,Low,
103,1,C000423,D004_2,3.825,8.8,Low,
103,2,C000423,D004_3,6.524,24.1,High,
103,3,C000423,D004_4,4.604,13.3,Medium,No Heavy Trucks
103,4,C000423,D004_5,4.644,10.7,Low,No Heavy Trucks
103,5,C000423,D010_1,388.306,1164.9,Medium,
103,6,C000423,D010_2,385.009,1478.4,High,
103,7,C000423,D010_3,383.175,919.6,Low,
103,8,C000423,D010_4,384.931,1154.8,Medium,
103,9,C000423,D010_5,384.065,1152.2,Medium,
110,0,C000426,D004_1,5.409,12.5,Low,
