origin_index,destination_index,origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions
532,1,C000107,D003_2,2.224,6.0,Medium,
532,3,C000107,D003_4,2.905,6.2,Low,No Heavy Trucks
532,4,C000107,D003_5,2.179,5.8,Medium,
532,5,C000107,D006_1,440.461,1179.8,Medium,
532,6,C000107,D006_2,439.834,1178.1,Medium,
532,7,C000107,D006_3,440.964,1181.2,Medium,
532,8,C000107,D006_4,440.641,1180.3,Medium,
532,9,C000107,D006_5,436.256,934.8,Low,
532,10,C000107,D007_1,79.379,183.2,Low,
532,11,C000107,D007_2,79.21,228.5,Medium,
532,12,C000107,D007_3,77.813,287.3,High,
532,13,C000107,D007_4,77.732,224.2,Medium,
532,14,C000107,D007_5,81.208,234.3,Medium,
1236,0,C000125,D003_1,9.144,24.5,Medium,
1236,1,C000125,D003_2,6.446,22.1,High,
1236,3,C000125,D003_4,5.896,15.8,Medium,
1236,4,C000125,D003_5,10.702,28.7,Medium,
1236,5,C000125,D006_1,434.312,1163.3,Medium,
1236,6,C000125,D006_2,433.735,1161.8,Medium,No Heavy Trucks
1236,7,C000125,D006_3,434.837,931.8,Low,
1236,8,C000125,D006_4,434.535,931.1,Low,
1236,9,C000125,D006_5,430.092,1152.0,Medium,
1236,10,C000125,D007_1,87.924,202.9,Low,
1236,11,C000125,D007_2,87.752,253.1,Medium,
1236,12,C000125,D007_3,86.338,249.1,Medium,
1236,13,C000125,D007_4,86.276,318.6,High,
1236,14,C000125,D007_5,89.742,258.9,Medium,
393,0,C000134,D003_1,11.501,30.8,Medium,
393,1,C000134,D003_2,8.979,24.1,Medium,
393,2,C000134,D003_3,6.911,14.8,Low,
393,4,C000134,D003_5,12.62,43.3,High,
393,5,C000134,D006_1,430.494,1153.1,Medium,
393,7,C000134,D006_3,431.01,1154.5,Medium,
393,8,C000134,D006_4,430.699,1153.7,Medium,
393,9,C000134,D006_5,426.281,913.5,Low,
393,10,C000134,D007_1,89.065,205.5,Low,
393,11,C000134,D007_2,88.947,256.6,Medium,
393,12,C000134,D007_3,87.706,202.4,Low,
393,13,C000134,D007_4,87.438,201.8,Low,
393,14,C000134,D007_5,91.039,336.1,High,
493,0,C000150,D003_1,5.279,14.1,Medium,
493,1,C000150,D003_2,3.793,10.2,Medium,
493,2,C000150,D003_3,6.482,17.4,Medium,No Heavy Trucks
493,3,C000150,D003_4,5.105,13.7,Medium,
493,5,C000150,D006_1,440.406,1510.0,High,
493,6,C000150,D006_2,439.825,1508.0,High,
493,7,C000150,D006_3,440.93,944.8,Low,
493,8,C000150,D006_4,440.626,1180.2,Medium,
493,9,C000150,D006_5,436.187,1168.4,Medium,
493,10,C000150,D007_1,83.324,192.3,Low,
493,11,C000150,D007_2,83.103,239.7,Medium,No Heavy Trucks
493,12,C000150,D007_3,81.535,235.2,Medium,
493,13,C000150,D007_4,81.661,235.6,Medium,No Heavy Trucks
365,0,C000166,D003_1,10.877,29.1,Medium,No Heavy Trucks
365,2,C000166,D003_3,8.352,17.9,Low,
365,3,C000166,D003_4,9.561,25.6,Medium,
365,4,C000166,D003_5,10.128,21.7,Low,
365,5,C000166,D006_1,434.649,931.4,Low,
365,6,C000166,D006_2,433.957,929.9,Low,
365,7,C000166,D006_3,435.122,1491.8,High,
365,8,C000166,D006_4,434.771,1164.6,Medium,
365,9,C000166,D006_5,430.465,922.4,Low,
365,11,C000166,D007_2,78.975,227.8,Medium,
365,12,C000166,D007_3,78.014,180.0,Low,
365,14,C000166,D007_5,81.216,299.9,High,
1871,0,C000174,D003_1,8.123,17.4,Low,
1871,1,C000174,D003_2,6.647,14.2,Low,
1871,2,C000174,D003_3,9.045,31.0,High,
1871,3,C000174,D003_4,7.773,20.8,Medium,
1871,4,C000174,D003_5,9.891,33.9,High,
1871,5,C000174,D006_1,440.502,943.9,Low,
1871,6,C000174,D006_2,439.946,942.7,Low,No Heavy Trucks
1871,7,C000174,D006_3,441.037,1181.3,Medium,No Heavy Trucks
1871,8,C000174,D006_4,440.744,1180.6,Medium,
1871,9,C000174,D006_5,436.276,934.9,Low,
1871,11,C000174,D007_2,85.137,245.6,Medium,
1871,12,C000174,D007_3,83.484,308.2,High,
1871,13,C000174,D007_4,83.713,241.5,Medium,
1871,14,C000174,D007_5,86.973,250.9,Medium,
105,0,C000219,D003_1,5.381,14.4,Medium,
105,1,C000219,D003_2,4.3,14.7,High,
105,2,C000219,D003_3,7.16,24.5,High,
105,4,C000219,D003_5,7.129,15.3,Low,
105,5,C000219,D006_1,441.225,1181.9,Medium,
105,6,C000219,D006_2,440.647,1180.3,Medium,
105,7,C000219,D006_3,441.75,946.6,Low,
105,8,C000219,D006_4,441.447,1182.4,Medium,
105,9,C000219,D006_5,437.005,1170.6,Medium,
105,10,C000219,D007_1,82.921,239.2,Medium,
105,11,C000219,D007_2,82.691,238.5,Medium,
105,12,C000219,D007_3,81.093,187.1,Low,
105,13,C000219,D007_4,81.256,234.4,Medium,
105,14,C000219,D007_5,84.564,195.1,Low,
1336,0,C000234,D003_1,4.325,9.3,Low,
1336,1,C000234,D003_2,5.595,15.0,Medium,
1336,2,C000234,D003_3,8.668,23.2,Medium,
1336,3,C000234,D003_4,7.301,19.6,Medium,
1336,4,C000234,D003_5,5.303,14.2,Medium,
1336,5,C000234,D006_1,444.749,1524.9,High,
1336,6,C000234,D006_2,444.151,1189.7,Medium,
1336,7,C000234,D006_3,445.265,1192.7,Medium,
1336,8,C000234,D006_4,444.954,1191.8,Medium,
1336,9,C000234,D006_5,440.535,944.0,Low,
1336,10,C000234,D007_1,78.764,227.2,Medium,
1336,11,C000234,D007_2,78.523,226.5,Medium,
1336,12,C000234,D007_3,76.892,221.8,Medium,
1336,13,C000234,D007_4,77.096,177.9,Low,
809,1,C000281,D003_2,7.514,25.8,High,
809,2,C000281,D003_3,4.36,11.7,Medium,No Heavy Trucks
809,3,C000281,D003_4,5.799,12.4,Low,No Heavy Trucks
809,4,C000281,D003_5,9.315,25.0,Medium,
809,5,C000281,D006_1,432.987,927.8,Low,
809,6,C000281,D006_2,432.344,926.5,Low,
809,7,C000281,D006_3,433.482,928.9,Low,
809,8,C000281,D006_4,433.152,928.2,Low,
809,9,C000281,D006_5,428.787,1148.5,Medium,
809,10,C000281,D007_1,83.753,193.3,Low,
809,11,C000281,D007_2,83.667,241.3,Medium,
809,12,C000281,D007_3,82.539,238.1,Medium,
809,14,C000281,D007_5,85.821,247.6,Medium,
1155,0,C000288,D003_1,10.979,23.5,Low,No Heavy Trucks
1155,1,C000288,D003_2,11.168,23.9,Low,
1155,2,C000288,D003_3,8.81,30.2,High,
1155,3,C000288,D003_4,9.952,26.7,Medium,
1155,4,C000288,D003_5,10.102,27.1,Medium,
1155,5,C000288,D006_1,435.255,1492.3,High,No Heavy Trucks
1155,6,C000288,D006_2,434.558,931.2,Low,
1155,7,C000288,D006_3,435.725,1493.9,High,
1155,8,C000288,D006_4,435.372,1166.2,Medium,No Heavy Trucks
1155,10,C000288,D007_1,78.182,180.4,Low,
1155,11,C000288,D007_2,78.146,180.3,Low,
1155,12,C000288,D007_3,77.194,222.7,Medium,
1155,13,C000288,D007_4,76.594,220.9,Medium,
1155,14,C000288,D007_5,80.391,231.9,Medium,
146,0,C000292,D003_1,7.177,15.4,Low,
146,1,C000292,D003_2,8.379,18.0,Low,
146,2,C000292,D003_3,7.327,19.6,Medium,
146,3,C000292,D003_4,7.837,16.8,Low,
146,4,C000292,D003_5,5.832,15.6,Medium,
146,5,C000292,D006_1,439.701,1177.8,Medium,
146,6,C000292,D006_2,439.021,940.8,Low,No Heavy Trucks
146,7,C000292,D006_3,440.179,1179.0,Medium,
146,8,C000292,D006_4,439.833,942.5,Low,
146,9,C000292,D006_5,435.512,933.2,Low,
146,10,C000292,D007_1,75.797,174.9,Low,
146,11,C000292,D007_2,75.702,174.7,Low,
146,12,C000292,D007_3,74.555,172.0,Low,
146,13,C000292,D007_4,74.179,171.2,Low,
146,14,C000292,D007_5,77.843,179.6,Low,
541,0,C000298,D003_1,4.484,15.4,High,
541,2,C000298,D003_3,8.557,29.3,High,
541,3,C000298,D003_4,7.947,21.3,Medium,
541,4,C000298,D003_5,2.893,6.2,Low,
