origin_index,destination_index,origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions
772,0,C000008,D002_1,8.489,31.8,Medium,
772,1,C000008,D002_2,12.619,47.3,Medium,
772,2,C000008,D002_3,9.214,34.6,Medium,
772,3,C000008,D002_4,11.012,52.9,High,
772,4,C000008,D002_5,7.277,27.3,Medium,No Heavy Trucks
772,5,C000008,D005_1,83.054,259.5,Medium,No Heavy Trucks
772,7,C000008,D005_3,82.965,207.4,Low,
772,8,C000008,D005_4,84.174,336.7,High,
772,9,C000008,D005_5,82.544,206.4,Low,
185,0,C000050,D002_1,14.53,54.5,Medium,
185,1,C000050,D002_2,15.279,45.8,Low,
185,2,C000050,D002_3,12.584,47.2,Medium,
185,3,C000050,D002_4,14.104,67.7,High,
185,4,C000050,D002_5,15.346,57.5,Medium,No Heavy Trucks
185,5,C000050,D005_1,97.457,304.6,Medium,
185,6,C000050,D005_2,97.872,305.8,Medium,
185,7,C000050,D005_3,97.502,304.7,Medium,
185,8,C000050,D005_4,98.652,246.6,Low,No Heavy Trucks
185,9,C000050,D005_5,97.063,303.3,Medium,
889,1,C000118,D002_2,19.424,72.8,Medium,
889,2,C000118,D002_3,16.412,61.5,Medium,No Heavy Trucks
889,3,C000118,D002_4,17.968,53.9,Low,
889,5,C000118,D005_1,76.086,237.8,Medium,
889,6,C000118,D005_2,76.504,306.0,High,
889,7,C000118,D005_3,76.126,237.9,Medium,No Heavy Trucks
889,8,C000118,D005_4,77.274,193.2,Low,
889,9,C000118,D005_5,75.685,189.2,Low,
675,0,C000131,D002_1,9.157,44.0,High,
675,1,C000131,D002_2,13.21,49.5,Medium,
675,2,C000131,D002_3,10.781,51.7,High,
675,3,C000131,D002_4,11.942,57.3,High,
675,4,C000131,D002_5,7.488,35.9,High,
675,5,C000131,D005_1,79.639,199.1,Low,No Heavy Trucks
675,6,C000131,D005_2,80.087,200.2,Low,
675,7,C000131,D005_3,79.415,198.5,Low,
675,8,C000131,D005_4,80.683,201.7,Low,
675,9,C000131,D005_5,79.012,316.0,High,
1405,0,C000144,D002_1,10.916,40.9,Medium,No Heavy Trucks
1405,1,C000144,D002_2,13.686,41.1,Low,No Heavy Trucks
1405,2,C000144,D002_3,9.917,47.6,High,
1405,3,C000144,D002_4,12.03,45.1,Medium,No Heavy Trucks
