origin_index,destination_index,origin_id,destination_id,distance_km,travel_time_min,traffic_level,road_restrictions
343,0,C000079,D001_1,9.24,31.5,Medium,
343,1,C000079,D001_2,3.85,13.1,Medium,No Heavy Trucks
343,2,C000079,D001_3,7.791,34.0,High,
343,3,C000079,D001_4,8.759,23.9,Low,
343,4,C000079,D001_5,7.615,26.0,Medium,No Heavy Trucks
343,5,C000079,D008_1,29.099,116.4,High,
343,7,C000079,D008_3,33.315,133.3,High,
343,8,C000079,D008_4,30.104,75.3,Low,
343,9,C000079,D008_5,34.014,85.0,Low,
343,10,C000079,D009_1,66.982,154.6,Low,
343,11,C000079,D009_2,64.694,186.6,Medium,
343,12,C000079,D009_3,65.845,151.9,Low,
343,13,C000079,D009_4,65.934,190.2,Medium,
343,14,C000079,D009_5,66.831,154.2,Low,
1546,0,C000081,D001_1,12.423,54.2,High,
1546,1,C000081,D001_2,9.005,30.7,Medium,
1546,2,C000081,D001_3,12.674,34.6,Low,
1546,3,C000081,D001_4,11.583,39.5,Medium,
1546,4,C000081,D001_5,10.816,47.2,High,
1546,5,C000081,D008_1,32.213,80.5,Low,
1546,6,C000081,D008_2,36.487,91.2,Low,
1546,7,C000081,D008_3,36.644,114.5,Medium,
1546,8,C000081,D008_4,32.842,131.4,High,
1546,9,C000081,D008_5,36.872,92.2,Low,
1546,10,C000081,D009_1,59.463,137.2,Low,
1546,11,C000081,D009_2,57.166,211.1,High,
1546,12,C000081,D009_3,58.332,134.6,Low,
1546,13,C000081,D009_4,58.405,168.5,Medium,
1546,14,C000081,D009_5,59.241,170.9,Medium,No Heavy Trucks
293,0,C000099,D001_1,11.177,48.8,High,
293,1,C000099,D001_2,5.793,19.7,Medium,
293,2,C000099,D001_3,9.723,42.4,High,
293,3,C000099,D001_4,10.676,36.4,Medium,
293,4,C000099,D001_5,9.535,32.5,Medium,
293,6,C000099,D008_2,35.047,87.6,Low,
293,7,C000099,D008_3,35.24,110.1,Medium,
293,8,C000099,D008_4,32.049,128.2,High,
293,9,C000099,D008_5,35.955,112.4,Medium,
293,10,C000099,D009_1,67.184,155.0,Low,
293,11,C000099,D009_2,64.888,239.6,High,
293,12,C000099,D009_3,66.053,152.4,Low,No Heavy Trucks
293,13,C000099,D009_4,66.128,244.2,High,
293,14,C000099,D009_5,66.969,247.3,High,
329,0,C000266,D001_1,10.414,45.4,High,
329,1,C000266,D001_2,12.139,53.0,High,
329,2,C000266,D001_3,8.759,38.2,High,
329,3,C000266,D001_4,11.182,38.1,Medium,
329,4,C000266,D001_5,11.249,30.7,Low,
329,6,C000266,D008_2,21.42,53.5,Low,
329,7,C000266,D008_3,21.651,67.7,Medium,
329,9,C000266,D008_5,23.061,57.7,Low,No Heavy Trucks
329,10,C000266,D009_1,75.948,219.1,Medium,No Heavy Trucks
329,11,C000266,D009_2,73.743,212.7,Medium,
329,12,C000266,D009_3,74.799,215.8,Medium,
329,14,C000266,D009_5,76.154,175.7,Low,
1541,0,C000291,D001_1,6.458,22.0,Medium,
1541,1,C000291,D001_2,7.176,24.5,Medium,
1541,2,C000291,D001_3,4.169,18.2,High,
1541,3,C000291,D001_4,7.045,30.7,High,
1541,4,C000291,D001_5,6.791,23.2,Medium,No Heavy Trucks
1541,5,C000291,D008_1,20.718,64.7,Medium,
1541,6,C000291,D008_2,24.387,97.5,High,No Heavy Trucks
1541,8,C000291,D008_4,22.018,68.8,Medium,
1541,9,C000291,D008_5,25.663,102.7,High,
1541,10,C000291,D009_1,72.037,207.8,Medium,
1541,11,C000291,D009_2,69.805,201.4,Medium,
1541,12,C000291,D009_3,70.888,204.5,Medium,
1541,13,C000291,D009_4,71.035,163.9,Low,
1541,14,C000291,D009_5,72.153,208.1,Medium,
19,1,C000293,D001_2,14.127,48.2,Medium,
19,2,C000293,D001_3,16.034,70.0,High,
19,3,C000293,D001_4,13.479,46.0,Medium,
19,4,C000293,D001_5,13.439,58.6,High,
