node_index,node_id,node_type,lat,lon,city,region_id
0,D004_1,depot,10.032247,105.74581,Can Tho,CTO
1,D004_2,depot,10.024714,105.748616,Can Tho,CTO
2,D004_3,depot,10.042843,105.732214,Can Tho,CTO
3,D004_4,depot,10.039961,105.762377,Can Tho,CTO
4,D004_5,depot,10.039517,105.759523,Can Tho,CTO
5,D010_1,depot,12.682548,108.053121,Buon Ma Thuot,CTO
6,D010_2,depot,12.666637,108.025257,Buon Ma Thuot,CTO
7,D010_3,depot,12.641561,108.029577,Buon Ma Thuot,CTO
8,D010_4,depot,12.663969,108.027405,Buon Ma Thuot,CTO
9,D010_5,depot,12.652634,108.028835,Buon Ma Thuot,CTO
10,C022556,customer,10.000415,105.753253,Can Tho,CTO
11,C037698,customer,10.075967,105.689714,Can Tho,CTO
12,C022668,customer,10.04019,105.799685,Can Tho,CTO
13,C046723,customer,10.011231,105.798474,Can Tho,CTO
14,C026884,customer,10.063122,105.688044,Can Tho,CTO
15,C033615,customer,10.082651,105.735134,Can Tho,CTO
16,C017850,customer,10.09166,105.79159,Can Tho,CTO
17,C009628,customer,10.093548,105.763351,Can Tho,CTO
18,C001270,customer,10.086652,105.80489,Can Tho,CTO
19,C043842,customer,10.013456,105.783651,Can Tho,CTO
20,C006597,customer,10.067254,105.798886,Can Tho,CTO
21,C017944,customer,9.994773,105.697632,Can Tho,CTO
22,C039635,customer,10.014975,105.759623,Can Tho,CTO
23,C033832,customer,10.040506,105.689846,Can Tho,CTO
24,C008562,customer,10.052973,105.693882,Can Tho,CTO
25,C018364,customer,10.093685,105.703094,Can Tho,CTO
26,C031960,customer,9.998983,105.725409,Can Tho,CTO
27,C023626,customer,10.01151,105.725711,Can Tho,CTO
28,C015561,customer,10.094485,105.695913,Can Tho,CTO
29,C049748,customer,10.098476,105.768268,Can Tho,CTO
30,C023289,customer,10.094849,105.726716,Can Tho,CTO
31,C041901,customer,10.104265,105.788776,Can Tho,CTO
32,C044438,customer,10.002436,105.757663,Can Tho,CTO
33,C024470,customer,10.060676,105.757976,Can Tho,CTO
34,C008357,customer,10.097017,105.777453,Can Tho,CTO
35,C007476,customer,10.009734,105.778336,Can Tho,CTO
36,C028033,customer,9.989923,105.731364,Can Tho,CTO
37,C046492,customer,10.017719,105.696135,Can Tho,CTO
38,C004572,customer,10.045702,105.703283,Can Tho,CTO
39,C019434,customer,9.995692,105.717817,Can Tho,CTO
40,C029811,customer,10.100487,105.777108,Can Tho,CTO
41,C019585,customer,10.079731,105.741196,Can Tho,CTO
42,C014886,customer,10.000156,105.719838,Can Tho,CTO
43,C044159,customer,9.994274,105.69799,Can Tho,CTO
44,C005119,customer,10.10155,105.794546,Can Tho,CTO
45,C022376,customer,10.0333,105.72215,Can Tho,CTO
46,C024309,customer,10.070426,105.786372,Can Tho,CTO
47,C020961,customer,10.00717,105.769259,Can Tho,CTO
48,C018901,customer,10.015996,105.758158,Can Tho,CTO
49,C045487,customer,10.077718,105.732016,Can Tho,CTO
50,C048597,customer,10.057853,105.773453,Can Tho,CTO
51,C042767,customer,10.019312,105.696018,Can Tho,CTO
52,C002377,customer,10.070563,105.704085,Can Tho,CTO
53,C014910,customer,9.999108,105.731899,Can Tho,CTO
