node_index,node_id,node_type,lat,lon,city,region_id
0,D002_1,depot,21.02042,105.860866,Hanoi,HAN
1,D002_2,depot,21.050267,105.836152,Hanoi,HAN
2,D002_3,depot,21.015835,105.840039,Hanoi,HAN
3,D002_4,depot,21.03508,105.839102,Hanoi,HAN
4,D002_5,depot,21.014122,105.875806,Hanoi,HAN
5,D005_1,depot,20.829619,106.684634,Hai Phong,HAN
6,D005_2,depot,20.825272,106.688062,Hai Phong,HAN
7,D005_3,depot,20.8613,106.688718,Hai Phong,HAN
8,D005_4,depot,20.845423,106.698178,Hai Phong,HAN
9,D005_5,depot,20.857284,106.68408,Hai Phong,HAN
10,C011262,customer,21.090162,105.772028,Hanoi,HAN
11,C039059,customer,21.096471,105.764636,Hanoi,HAN
12,C026382,customer,21.088342,105.934055,Hanoi,HAN
13,C011754,customer,20.967868,105.787456,Hanoi,HAN
14,C008043,customer,21.054551,105.953543,Hanoi,HAN
15,C029229,customer,21.127418,105.821199,Hanoi,HAN
16,C023734,customer,20.973117,105.96957,Hanoi,HAN
17,C006133,customer,20.922984,105.795226,Hanoi,HAN
18,C011688,customer,20.922628,105.78266,Hanoi,HAN
19,C023733,customer,20.911569,105.816941,Hanoi,HAN
20,C037132,customer,21.04534,105.760163,Hanoi,HAN
21,C013993,customer,20.972111,105.780689,Hanoi,HAN
22,C038932,customer,20.976463,105.918321,Hanoi,HAN
23,C047454,customer,20.969708,105.809194,Hanoi,HAN
24,C000277,customer,20.923383,105.864886,Hanoi,HAN
25,C037297,customer,20.955288,105.938679,Hanoi,HAN
26,C018870,customer,20.922344,105.91424,Hanoi,HAN
27,C037206,customer,21.121372,105.953133,Hanoi,HAN
28,C011406,customer,21.004444,105.901748,Hanoi,HAN
29,C002978,customer,21.076347,105.736476,Hanoi,HAN
30,C047610,customer,20.928977,105.814519,Hanoi,HAN
31,C023595,customer,21.020673,105.747249,Hanoi,HAN
32,C013981,customer,20.976342,105.79625,Hanoi,HAN
33,C013137,customer,21.06471,105.775499,Hanoi,HAN
34,C019091,customer,20.98218,105.766984,Hanoi,HAN
35,C021582,customer,21.048749,105.849158,Hanoi,HAN
36,C022246,customer,21.02587,105.95122,Hanoi,HAN
37,C021831,customer,21.047221,105.877712,Hanoi,HAN
38,C008730,customer,21.009637,105.816281,Hanoi,HAN
39,C027870,customer,21.0041,105.762604,Hanoi,HAN
40,C014088,customer,21.012412,105.749626,Hanoi,HAN
41,C039518,customer,21.142266,105.840246,Hanoi,HAN
42,C047334,customer,21.051061,105.849323,Hanoi,HAN
43,C021786,customer,21.077196,105.925773,Hanoi,HAN
44,C000361,customer,21.041464,105.826332,Hanoi,HAN
45,C016298,customer,21.031991,105.900703,Hanoi,HAN
46,C035979,customer,21.124116,105.776444,Hanoi,HAN
47,C023937,customer,21.052307,105.875749,Hanoi,HAN
48,C024302,customer,21.109368,105.943705,Hanoi,HAN
49,C005885,customer,21.133462,105.931627,Hanoi,HAN
50,C019125,customer,20.998397,105.949396,Hanoi,HAN
51,C037608,customer,20.995346,105.878623,Hanoi,HAN
52,C033064,customer,21.052742,105.83738,Hanoi,HAN
53,C003869,customer,21.101811,105.783425,Hanoi,HAN
54,C036484,customer,21.120063,105.928337,Hanoi,HAN
55,C013626,customer,21.050925,105.802108,Hanoi,HAN
56,C038314,customer,21.066543,105.798408,Hanoi,HAN
57,C038415,customer,21.123705,105.738026,Hanoi,HAN
