node_index,node_id,node_type,lat,lon,city,region_id
0,D001_1,depot,10.793944,106.721096,Ho Chi Minh City,HCM
1,D001_2,depot,10.76661,106.680305,Ho Chi Minh City,HCM
2,D001_3,depot,10.800077,106.697169,Ho Chi Minh City,HCM
3,D001_4,depot,10.786091,106.721072,Ho Chi Minh City,HCM
4,D001_5,depot,10.781328,106.711763,Ho Chi Minh City,HCM
5,D008_1,depot,10.943195,106.827013,Bien Hoa,HCM
6,D008_2,depot,10.980238,106.83919,Bien Hoa,HCM
7,D008_3,depot,10.980744,106.841373,Bien Hoa,HCM
8,D008_4,depot,10.940748,106.843369,Bien Hoa,HCM
9,D008_5,depot,10.972492,106.861213,Bien Hoa,HCM
10,D009_1,depot,10.338962,107.104299,Vung Tau,HCM
11,D009_2,depot,10.350826,107.086978,Vung Tau,HCM
12,D009_3,depot,10.346964,107.097654,Vung Tau,HCM
13,D009_4,depot,10.34331,107.095354,Vung Tau,HCM
14,D009_5,depot,10.325409,107.089351,Vung Tau,HCM
15,C024826,customer,10.879461,106.769457,Ho Chi Minh City,HCM
16,C045638,customer,10.721384,106.808352,Ho Chi Minh City,HCM
17,C042844,customer,10.726827,106.590516,Ho Chi Minh City,HCM
18,C008502,customer,10.835146,106.610851,Ho Chi Minh City,HCM
19,C000293,customer,10.674578,106.769443,Ho Chi Minh City,HCM
20,C042508,customer,10.774011,106.630316,Ho Chi Minh City,HCM
21,C013532,customer,10.669814,106.709023,Ho Chi Minh City,HCM
22,C003693,customer,10.880242,106.603526,Ho Chi Minh City,HCM
23,C046819,customer,10.821619,106.76631,Ho Chi Minh City,HCM
24,C007278,customer,10.809212,106.813337,Ho Chi Minh City,HCM
25,C032183,customer,10.786947,106.743831,Ho Chi Minh City,HCM
26,C005743,customer,10.750337,106.637037,Ho Chi Minh City,HCM
27,C036810,customer,10.755586,106.627704,Ho Chi Minh City,HCM
28,C003130,customer,10.782749,106.602535,Ho Chi Minh City,HCM
29,C017515,customer,10.744383,106.667637,Ho Chi Minh City,HCM
30,C003310,customer,10.728599,106.768152,Ho Chi Minh City,HCM
31,C016706,customer,10.85141,106.639501,Ho Chi Minh City,HCM
32,C040044,customer,10.676972,106.64372,Ho Chi Minh City,HCM
33,C006151,customer,10.694432,106.763141,Ho Chi Minh City,HCM
34,C038106,customer,10.782504,106.722986,Ho Chi Minh City,HCM
35,C026451,customer,10.666479,106.805205,Ho Chi Minh City,HCM
36,C031121,customer,10.764393,106.673302,Ho Chi Minh City,HCM
37,C008559,customer,10.798079,106.614619,Ho Chi Minh City,HCM
38,C009873,customer,10.886913,106.659067,Ho Chi Minh City,HCM
39,C001108,customer,10.706443,106.762238,Ho Chi Minh City,HCM
40,C046041,customer,10.842449,106.650758,Ho Chi Minh City,HCM
41,C000600,customer,10.808872,106.798921,Ho Chi Minh City,HCM
42,C029754,customer,10.764879,106.750102,Ho Chi Minh City,HCM
43,C016008,customer,10.705027,106.689653,Ho Chi Minh City,HCM
44,C022087,customer,10.755412,106.711681,Ho Chi Minh City,HCM
45,C043605,customer,10.878082,106.690724,Ho Chi Minh City,HCM
46,C045157,customer,10.862188,106.801012,Ho Chi Minh City,HCM
47,C015763,customer,10.72923,106.813896,Ho Chi Minh City,HCM
48,C001522,customer,10.743997,106.753369,Ho Chi Minh City,HCM
49,C013213,customer,10.848403,106.757969,Ho Chi Minh City,HCM
50,C017424,customer,10.766589,106.802539,Ho Chi Minh City,HCM
51,C014467,customer,10.836192,106.601625,Ho Chi Minh City,HCM
52,C045211,customer,10.773403,106.63772,Ho Chi Minh City,HCM
53,C009726,customer,10.725427,106.646014,Ho Chi Minh City,HCM
54,C015899,customer,10.800069,106.72736,Ho Chi Minh City,HCM
55,C034315,customer,10.732459,106.634109,Ho Chi Minh City,HCM
56,C002294,customer,10.778756,106.603169,Ho Chi Minh City,HCM
57,C023278,customer,10.890662,106.694026,Ho Chi Minh City,HCM
58,C016350,customer,10.793228,106.808286,Ho Chi Minh City,HCM
59,C006278,customer,10.708922,106.634565,Ho Chi Minh City,HCM
60,C043266,customer,10.875665,106.661749,Ho Chi Minh City,HCM
61,C047594,customer,10.661207,106.65791,Ho Chi Minh City,HCM
62,C030550,customer,10.76404,106.703403,Ho Chi Minh City,HCM
63,C005182,customer,10.724159,106.736001,Ho Chi Minh City,HCM
64,C033867,customer,10.692521,106.818283,Ho Chi Minh City,HCM
65,C025114,customer,10.686628,106.772018,Ho Chi Minh City,HCM
66,C037701,customer,10.831015,106.719681,Ho Chi Minh City,HCM
67,C018549,customer,10.887778,106.741459,Ho Chi Minh City,HCM
68,C012016,customer,10.799135,106.706416,Ho Chi Minh City,HCM
69,C013868,customer,10.657846,106.607725,Ho Chi Minh City,HCM
70,C014016,customer,10.790803,106.646888,Ho Chi Minh City,HCM
71,C038234,customer,10.706399,106.791705,Ho Chi Minh City,HCM
72,C012578,customer,10.728487,106.653031,Ho Chi Minh City,HCM
73,C017037,customer,10.812181,106.669743,Ho Chi Minh City,HCM
74,C009612,customer,10.691552,106.624964,Ho Chi Minh City,HCM
75,C028339,customer,10.746401,106.69626,Ho Chi Minh City,HCM
76,C045747,customer,10.692351,106.807564,Ho Chi Minh City,HCM
77,C021644,customer,10.882313,106.720687,Ho Chi Minh City,HCM
78,C049611,customer,10.825551,106.638725,Ho Chi Minh City,HCM
79,C041245,customer,10.755635,106.761928,Ho Chi Minh City,HCM
80,C022870,customer,10.746003,106.724668,Ho Chi Minh City,HCM
81,C044362,customer,10.750048,106.703402,Ho Chi Minh City,HCM
82,C034479,customer,10.71758,106.698034,Ho Chi Minh City,HCM
83,C009029,customer,10.758996,106.779802,Ho Chi Minh City,HCM
84,C008324,customer,10.746481,106.646143,Ho Chi Minh City,HCM
85,C010575,customer,10.877216,106.645633,Ho Chi Minh City,HCM
86,C022080,customer,10.823335,106.717649,Ho Chi Minh City,HCM
87,C030090,customer,10.775695,106.595171,Ho Chi Minh City,HCM
88,C011725,customer,10.887415,106.620448,Ho Chi Minh City,HCM
89,C037906,customer,10.785061,106.721296,Ho Chi Minh City,HCM
90,C020956,customer,10.8882,106.720922,Ho Chi Minh City,HCM
91,C027493,customer,10.787563,106.783256,Ho Chi Minh City,HCM
92,C003406,customer,10.698711,106.644338,Ho Chi Minh City,HCM
93,C032239,customer,10.698601,106.643436,Ho Chi Minh City,HCM
94,C015433,customer,10.798278,106.637741,Ho Chi Minh City,HCM
95,C034439,customer,10.873677,106.590718,Ho Chi Minh City,HCM
96,C022496,customer,10.798713,106.621438,Ho Chi Minh City,HCM
97,C032642,customer,10.851557,106.601903,Ho Chi Minh City,HCM
98,C049579,customer,10.821024,106.723441,Ho Chi Minh City,HCM
99,C001900,customer,10.699162,106.686267,Ho Chi Minh City,HCM
100,C026627,customer,10.800444,106.647433,Ho Chi Minh City,HCM
101,C033435,customer,10.828701,106.616273,Ho Chi Minh City,HCM
102,C002863,customer,10.710322,106.717362,Ho Chi Minh City,HCM
103,C041116,customer,10.845452,106.720582,Ho Chi Minh City,HCM
104,C043818,customer,10.810543,106.710509,Ho Chi Minh City,HCM
105,C018153,customer,10.788157,106.678246,Ho Chi Minh City,HCM
106,C026861,customer,10.712958,106.695473,Ho Chi Minh City,HCM
107,C015062,customer,10.670142,106.819864,Ho Chi Minh City,HCM
108,C001087,customer,10.813506,106.704463,Ho Chi Minh City,HCM
109,C022096,customer,10.70588,106.61441,Ho Chi Minh City,HCM
110,C045775,customer,10.763775,106.720662,Ho Chi Minh City,HCM
111,C043700,customer,10.665875,106.789944,Ho Chi Minh City,HCM
112,C026429,customer,10.881604,106.632043,Ho Chi Minh City,HCM
113,C044213,customer,10.838055,106.583502,Ho Chi Minh City,HCM
114,C009242,customer,10.893745,106.769658,Ho Chi Minh City,HCM
115,C047257,customer,10.73572,106.65788,Ho Chi Minh City,HCM
116,C043299,customer,10.714828,106.752986,Ho Chi Minh City,HCM
