node_id,node_type,lat,lon,city,region_id
D001_1,depot,10.793944,106.721096,Ho Chi Minh City,HCM
D001_2,depot,10.76661,106.680305,Ho Chi Minh City,HCM
D001_3,depot,10.800077,106.697169,Ho Chi Minh City,HCM
D001_4,depot,10.786091,106.721072,Ho Chi Minh City,HCM
D001_5,depot,10.781328,106.711763,Ho Chi Minh City,HCM
D002_1,depot,21.02042,105.860866,Hanoi,HAN
D002_2,depot,21.050267,105.836152,Hanoi,HAN
D002_3,depot,21.015835,105.840039,Hanoi,HAN
D002_4,depot,21.03508,105.839102,Hanoi,HAN
D002_5,depot,21.014122,105.875806,Hanoi,HAN
D003_1,depot,16.077212,108.197618,Da Nang,DAN
D003_2,depot,16.060789,108.216304,Da Nang,DAN
D003_3,depot,16.033741,108.207415,Da Nang,DAN
D003_4,depot,16.045567,108.213095,Da Nang,DAN
D003_5,depot,16.078932,108.18086,Da Nang,DAN
D004_1,depot,10.032247,105.74581,Can Tho,CTO
D004_2,depot,10.024714,105.748616,Can Tho,CTO
D004_3,depot,10.042843,105.732214,Can Tho,CTO
D004_4,depot,10.039961,105.762377,Can Tho,CTO
D004_5,depot,10.039517,105.759523,Can Tho,CTO
D005_1,depot,20.829619,106.684634,Hai Phong,HAN
D005_2,depot,20.825272,106.688062,Hai Phong,HAN
D005_3,depot,20.8613,106.688718,Hai Phong,HAN
D005_4,depot,20.845423,106.698178,Hai Phong,HAN
D005_5,depot,20.857284,106.68408,Hai Phong,HAN
D006_1,depot,12.230194,109.215813,Nha Trang,DAN
D006_2,depot,12.227672,109.181863,Nha Trang,DAN
D006_3,depot,12.222076,109.201868,Nha Trang,DAN
D006_4,depot,12.221575,109.18755,Nha Trang,DAN
D006_5,depot,12.269317,109.21612,Nha Trang,DAN
D007_1,depot,16.452065,107.570698,Hue,DAN
D007_2,depot,16.459179,107.577414,Hue,DAN
D007_3,depot,16.477302,107.606399,Hue,DAN
D007_4,depot,16.446791,107.585526,Hue,DAN
D007_5,depot,16.484996,107.573037,Hue,DAN
D008_1,depot,10.943195,106.827013,Bien Hoa,HCM
D008_2,depot,10.980238,106.83919,Bien Hoa,HCM
D008_3,depot,10.980744,106.841373,Bien Hoa,HCM
D008_4,depot,10.940748,106.843369,Bien Hoa,HCM
D008_5,depot,10.972492,106.861213,Bien Hoa,HCM
D009_1,depot,10.338962,107.104299,Vung Tau,HCM
D009_2,depot,10.350826,107.086978,Vung Tau,HCM
D009_3,depot,10.346964,107.097654,Vung Tau,HCM
D009_4,depot,10.34331,107.095354,Vung Tau,HCM
D009_5,depot,10.325409,107.089351,Vung Tau,HCM
D010_1,depot,12.682548,108.053121,Buon Ma Thuot,CTO
D010_2,depot,12.666637,108.025257,Buon Ma Thuot,CTO
D010_3,depot,12.641561,108.029577,Buon Ma Thuot,CTO
D010_4,depot,12.663969,108.027405,Buon Ma Thuot,CTO
D010_5,depot,12.652634,108.028835,Buon Ma Thuot,CTO
C022556,customer,10.000415,105.753253,Can Tho,CTO
C037698,customer,10.075967,105.689714,Can Tho,CTO
C022668,customer,10.04019,105.799685,Can Tho,CTO
C046723,customer,10.011231,105.798474,Can Tho,CTO
C026884,customer,10.063122,105.688044,Can Tho,CTO
C033615,customer,10.082651,105.735134,Can Tho,CTO
C017850,customer,10.09166,105.79159,Can Tho,CTO
C009628,customer,10.093548,105.763351,Can Tho,CTO
C001270,customer,10.086652,105.80489,Can Tho,CTO
C043842,customer,10.013456,105.783651,Can Tho,CTO
C006597,customer,10.067254,105.798886,Can Tho,CTO
C017944,customer,9.994773,105.697632,Can Tho,CTO
C039635,customer,10.014975,105.759623,Can Tho,CTO
C033832,customer,10.040506,105.689846,Can Tho,CTO
C008562,customer,10.052973,105.693882,Can Tho,CTO
C018364,customer,10.093685,105.703094,Can Tho,CTO
C031960,customer,9.998983,105.725409,Can Tho,CTO
C023626,customer,10.01151,105.725711,Can Tho,CTO
C015561,customer,10.094485,105.695913,Can Tho,CTO
C049748,customer,10.098476,105.768268,Can Tho,CTO
C023289,customer,10.094849,105.726716,Can Tho,CTO
C041901,customer,10.104265,105.788776,Can Tho,CTO
C044438,customer,10.002436,105.757663,Can Tho,CTO
C024470,customer,10.060676,105.757976,Can Tho,CTO
C008357,customer,10.097017,105.777453,Can Tho,CTO
C007476,customer,10.009734,105.778336,Can Tho,CTO
C028033,customer,9.989923,105.731364,Can Tho,CTO
C046492,customer,10.017719,105.696135,Can Tho,CTO
