vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0013,Van,1094.0,13.7,58.41,0.27,288.0,8.0,D004_2,D004_2,CTO
V0020,Motorbike,85.0,0.38,14.68,0.1,157.0,8.0,D004_1,D004_1,CTO
V0022,Motorbike,88.0,0.4,13.98,0.05,97.0,8.0,D010_3,D010_3,CTO
V0032,Bike,39.0,0.21,9.28,0.08,26.0,6.0,D010_4,D010_4,CTO
V0043,Motorbike,69.0,0.21,13.43,0.12,156.0,8.0,D004_5,D004_5,CTO
V0046,Motorbike,71.0,0.51,14.41,0.05,126.0,10.0,D010_2,D010_2,CTO
V0047,Bike,22.0,0.35,9.53,0.04,28.0,8.0,D004_4,D004_4,CTO
V0050,Motorbike,86.0,0.67,11.72,0.08,109.0,8.0,D004_2,D004_2,CTO
V0051,Bike,32.0,0.19,5.51,0.03,26.0,8.0,D010_1,D010_1,CTO
V0052,EV Van,862.0,8.51,40.59,0.16,201.0,8.0,D004_3,D004_3,CTO
V0062,Motorbike,94.0,0.46,8.35,0.1,139.0,8.0,D004_5,D004_5,CTO
V0070,EV Van,837.0,7.79,44.78,0.15,217.0,8.0,D004_3,D004_3,CTO
V0087,Van,912.0,12.5,48.97,0.26,235.0,8.0,D010_5,D010_5,CTO
V0088,Bike,38.0,0.25,5.25,0.08,41.0,6.0,D010_3,D010_3,CTO
V0089,EV Van,723.0,10.64,53.26,0.15,201.0,10.0,D004_4,D004_4,CTO
V0105,Motorbike,50.0,0.58,11.44,0.11,149.0,10.0,D010_5,D010_5,CTO
V0106,EV Van,1152.0,7.29,63.94,0.12,211.0,8.0,D010_5,D010_5,CTO
V0134,EV Van,870.0,11.51,46.2,0.15,230.0,8.0,D010_1,D010_1,CTO
V0135,Bike,30.0,0.18,5.06,0.06,38.0,6.0,D004_1,D004_1,CTO
V0136,Motorbike,50.0,0.39,11.32,0.09,75.0,8.0,D004_3,D004_3,CTO
V0152,Motorbike,65.0,0.2,14.76,0.08,147.0,8.0,D004_5,D004_5,CTO
V0153,Bike,35.0,0.23,9.04,0.04,48.0,8.0,D004_4,D004_4,CTO
V0159,Bike,35.0,0.37,6.21,0.07,39.0,6.0,D004_5,D004_5,CTO
V0160,Bike,27.0,0.17,8.77,0.05,25.0,6.0,D004_2,D004_2,CTO
V0163,Bike,37.0,0.23,7.19,0.05,30.0,6.0,D010_3,D010_3,CTO
V0165,Motorbike,79.0,0.29,13.69,0.11,151.0,8.0,D004_3,D004_3,CTO
V0166,Motorbike,91.0,0.49,14.4,0.1,140.0,10.0,D004_3,D004_3,CTO
V0167,Van,976.0,13.7,61.89,0.23,162.0,10.0,D010_3,D010_3,CTO
V0168,Van,1474.0,9.58,65.09,0.25,284.0,8.0,D010_4,D010_4,CTO
V0169,Van,1203.0,9.07,78.86,0.14,254.0,10.0,D004_5,D004_5,CTO
V0173,Van,1297.0,12.88,49.34,0.15,273.0,12.0,D010_3,D010_3,CTO
V0183,Van,958.0,8.06,75.6,0.23,286.0,8.0,D004_5,D004_5,CTO
V0184,Bike,30.0,0.21,6.37,0.07,43.0,8.0,D004_1,D004_1,CTO
V0204,Motorbike,97.0,0.44,13.29,0.08,92.0,8.0,D010_1,D010_1,CTO
V0205,Van,1195.0,13.8,50.18,0.19,282.0,12.0,D004_5,D004_5,CTO
V0210,Bike,26.0,0.38,9.85,0.07,27.0,6.0,D004_4,D004_4,CTO
V0212,Van,823.0,10.1,67.67,0.26,316.0,10.0,D004_5,D004_5,CTO
V0218,Van,1478.0,12.79,58.17,0.2,225.0,12.0,D004_1,D004_1,CTO
V0219,Motorbike,56.0,0.72,14.54,0.11,100.0,8.0,D004_2,D004_2,CTO
V0227,Van,1296.0,9.21,77.19,0.26,287.0,10.0,D004_5,D004_5,CTO
V0230,Bike,34.0,0.19,8.25,0.05,20.0,8.0,D010_3,D010_3,CTO
V0234,Motorbike,77.0,0.28,14.7,0.06,94.0,10.0,D010_5,D010_5,CTO
V0235,Bike,39.0,0.16,9.1,0.04,43.0,6.0,D010_5,D010_5,CTO
V0236,Motorbike,76.0,0.32,8.66,0.08,88.0,8.0,D004_3,D004_3,CTO
V0237,Bike,35.0,0.33,7.01,0.05,48.0,6.0,D004_5,D004_5,CTO
V0238,Cargo Trike,128.0,0.69,17.12,0.08,53.0,10.0,D010_4,D010_4,CTO
V0239,Bike,21.0,0.24,5.81,0.04,25.0,6.0,D010_1,D010_1,CTO
V0246,Motorbike,99.0,0.6,14.63,0.09,72.0,8.0,D004_2,D004_2,CTO
V0253,EV Van,856.0,7.07,65.74,0.11,225.0,10.0,D004_3,D004_3,CTO
V0257,Motorbike,81.0,0.46,9.18,0.06,150.0,10.0,D004_1,D004_1,CTO
V0265,Motorbike,87.0,0.27,12.79,0.06,106.0,8.0,D010_5,D010_5,CTO
V0266,Van,1355.0,10.87,75.03,0.28,316.0,12.0,D004_4,D004_4,CTO
V0268,Van,1170.0,8.37,56.53,0.15,342.0,12.0,D004_3,D004_3,CTO
V0270,Motorbike,86.0,0.21,9.16,0.12,82.0,8.0,D010_2,D010_2,CTO
V0271,Van,1222.0,8.31,45.1,0.23,249.0,10.0,D010_4,D010_4,CTO
V0278,Motorbike,76.0,0.69,12.53,0.12,123.0,10.0,D004_3,D004_3,CTO
V0281,EV Van,1070.0,9.09,51.81,0.1,198.0,10.0,D010_1,D010_1,CTO
V0285,Bike,37.0,0.13,9.65,0.04,41.0,6.0,D010_5,D010_5,CTO
V0286,Van,982.0,13.33,53.02,0.28,253.0,12.0,D004_2,D004_2,CTO
V0294,Van,803.0,13.72,72.81,0.27,311.0,8.0,D010_1,D010_1,CTO
V0299,Motorbike,74.0,0.49,10.32,0.07,156.0,8.0,D004_4,D004_4,CTO
