vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0001,Motorbike,75.0,0.74,11.7,0.07,140.0,8.0,D005_5,D005_5,HAN
V0002,Bike,30.0,0.24,9.69,0.03,39.0,8.0,D002_1,D002_1,HAN
V0006,Van,896.0,9.21,71.48,0.2,159.0,10.0,D005_1,D005_1,HAN
V0009,Bike,28.0,0.37,7.82,0.06,35.0,8.0,D002_4,D002_4,HAN
V0011,Bike,22.0,0.39,6.54,0.07,28.0,6.0,D005_2,D005_2,HAN
V0024,Motorbike,70.0,0.26,10.24,0.06,147.0,8.0,D005_1,D005_1,HAN
V0027,Motorbike,97.0,0.37,11.99,0.07,108.0,10.0,D005_3,D005_3,HAN
V0030,EV Van,1139.0,10.06,44.3,0.1,209.0,10.0,D002_3,D002_3,HAN
V0033,Bike,26.0,0.11,9.71,0.08,20.0,6.0,D002_3,D002_3,HAN
V0034,Bike,35.0,0.26,8.23,0.05,39.0,8.0,D002_2,D002_2,HAN
V0036,Van,829.0,8.62,60.91,0.25,216.0,8.0,D005_1,D005_1,HAN
V0040,EV Van,779.0,10.62,57.2,0.14,179.0,10.0,D005_5,D005_5,HAN
V0056,Van,1382.0,10.45,47.73,0.25,165.0,10.0,D005_2,D005_2,HAN
V0057,Motorbike,62.0,0.66,12.54,0.11,152.0,10.0,D002_3,D002_3,HAN
V0060,EV Van,787.0,6.28,56.94,0.11,172.0,8.0,D002_5,D002_5,HAN
V0069,Motorbike,96.0,0.45,14.79,0.06,94.0,8.0,D002_1,D002_1,HAN
V0071,Bike,32.0,0.22,8.58,0.04,47.0,6.0,D002_4,D002_4,HAN
V0072,Motorbike,64.0,0.34,9.12,0.05,140.0,8.0,D002_1,D002_1,HAN
V0074,Motorbike,51.0,0.68,12.07,0.09,90.0,10.0,D005_3,D005_3,HAN
V0075,Motorbike,85.0,0.52,9.49,0.1,112.0,10.0,D002_4,D002_4,HAN
V0076,EV Van,1196.0,9.96,48.46,0.15,198.0,8.0,D002_1,D002_1,HAN
V0077,Bike,26.0,0.11,6.53,0.04,27.0,8.0,D005_3,D005_3,HAN
V0081,EV Van,872.0,7.54,42.83,0.11,195.0,9.0,D005_1,D005_1,HAN
V0082,EV Van,871.0,9.48,63.41,0.14,192.0,10.0,D005_2,D005_2,HAN
V0083,EV Van,932.0,6.66,47.68,0.1,150.0,10.0,D002_3,D002_3,HAN
V0092,Motorbike,54.0,0.38,10.43,0.09,93.0,8.0,D005_2,D005_2,HAN
V0096,Motorbike,70.0,0.42,13.48,0.11,138.0,10.0,D002_2,D002_2,HAN
V0100,Motorbike,59.0,0.68,14.47,0.07,96.0,10.0,D005_4,D005_4,HAN
V0107,Van,1465.0,8.92,67.07,0.13,218.0,10.0,D005_1,D005_1,HAN
V0108,Bike,20.0,0.22,5.49,0.04,47.0,6.0,D002_5,D002_5,HAN
V0109,EV Van,826.0,11.38,65.86,0.1,176.0,8.0,D005_1,D005_1,HAN
V0110,Bike,27.0,0.36,8.52,0.04,39.0,6.0,D005_5,D005_5,HAN
V0112,Motorbike,62.0,0.27,12.17,0.05,86.0,8.0,D002_4,D002_4,HAN
V0115,Van,974.0,13.57,50.22,0.27,165.0,8.0,D005_4,D005_4,HAN
V0117,EV Van,811.0,7.98,50.81,0.08,123.0,10.0,D002_4,D002_4,HAN
V0124,Bike,38.0,0.26,5.54,0.06,43.0,6.0,D002_2,D002_2,HAN
V0125,Motorbike,72.0,0.62,8.85,0.1,151.0,10.0,D002_3,D002_3,HAN
V0126,Motorbike,70.0,0.68,9.38,0.11,150.0,10.0,D002_1,D002_1,HAN
V0130,Bike,28.0,0.34,6.39,0.04,40.0,8.0,D002_1,D002_1,HAN
V0132,Bike,22.0,0.22,5.15,0.06,37.0,6.0,D002_1,D002_1,HAN
V0141,Motorbike,66.0,0.31,10.87,0.06,68.0,10.0,D002_4,D002_4,HAN
V0143,Bike,30.0,0.13,9.83,0.05,27.0,6.0,D002_4,D002_4,HAN
V0145,Van,1376.0,13.85,45.47,0.21,219.0,12.0,D005_5,D005_5,HAN
V0149,Motorbike,60.0,0.68,10.11,0.09,136.0,8.0,D002_3,D002_3,HAN
V0157,Bike,29.0,0.4,9.16,0.05,25.0,6.0,D005_5,D005_5,HAN
V0164,Van,937.0,10.07,69.59,0.16,304.0,8.0,D005_5,D005_5,HAN
V0171,Motorbike,99.0,0.33,12.65,0.12,127.0,10.0,D005_2,D005_2,HAN
V0175,Bike,28.0,0.12,5.55,0.06,23.0,8.0,D005_1,D005_1,HAN
V0185,EV Van,1186.0,10.86,52.06,0.1,218.0,8.0,D002_4,D002_4,HAN
V0186,Motorbike,94.0,0.68,12.82,0.08,158.0,8.0,D002_2,D002_2,HAN
V0193,EV Van,1137.0,8.29,43.09,0.14,219.0,8.0,D002_1,D002_1,HAN
V0198,Bike,27.0,0.36,7.86,0.03,35.0,8.0,D002_4,D002_4,HAN
V0199,Motorbike,95.0,0.59,9.91,0.06,73.0,10.0,D002_2,D002_2,HAN
V0201,Motorbike,67.0,0.69,8.13,0.09,82.0,10.0,D002_5,D002_5,HAN
V0207,Motorbike,62.0,0.48,10.18,0.07,141.0,10.0,D005_1,D005_1,HAN
V0208,Bike,39.0,0.37,8.88,0.04,34.0,6.0,D005_1,D005_1,HAN
V0209,EV Van,1175.0,7.26,68.89,0.11,197.0,8.0,D002_2,D002_2,HAN
V0213,EV Van,884.0,6.96,65.9,0.14,129.0,10.0,D002_4,D002_4,HAN
V0214,Motorbike,72.0,0.76,9.28,0.08,125.0,10.0,D002_2,D002_2,HAN
V0215,Motorbike,80.0,0.62,14.96,0.08,76.0,10.0,D002_3,D002_3,HAN
V0221,Motorbike,72.0,0.53,9.56,0.1,145.0,8.0,D002_1,D002_1,HAN
V0224,Motorbike,98.0,0.34,8.15,0.08,107.0,10.0,D005_3,D005_3,HAN
V0226,Motorbike,73.0,0.23,10.2,0.09,157.0,10.0,D005_2,D005_2,HAN
V0232,EV Van,789.0,10.27,65.15,0.12,235.0,10.0,D005_2,D005_2,HAN
V0233,Motorbike,84.0,0.29,10.43,0.07,137.0,10.0,D002_3,D002_3,HAN
V0242,Motorbike,74.0,0.23,11.55,0.1,99.0,10.0,D005_5,D005_5,HAN
V0243,Cargo Trike,111.0,1.42,13.09,0.1,87.0,8.0,D005_3,D005_3,HAN
V0245,Van,1002.0,12.13,70.28,0.24,190.0,12.0,D005_1,D005_1,HAN
V0248,Motorbike,98.0,0.58,12.13,0.1,74.0,8.0,D002_1,D002_1,HAN
V0254,Van,1209.0,9.58,48.91,0.14,285.0,8.0,D002_3,D002_3,HAN
V0269,Bike,35.0,0.12,8.1,0.08,49.0,6.0,D005_1,D005_1,HAN
V0273,Bike,29.0,0.37,7.61,0.04,26.0,8.0,D002_5,D002_5,HAN
V0274,EV Van,1138.0,11.68,45.92,0.12,127.0,10.0,D005_3,D005_3,HAN
V0275,Motorbike,66.0,0.39,11.27,0.09,71.0,8.0,D005_3,D005_3,HAN
V0276,Van,959.0,8.86,62.8,0.26,291.0,8.0,D005_4,D005_4,HAN
V0284,EV Van,1149.0,10.81,56.96,0.09,214.0,9.0,D005_5,D005_5,HAN
V0291,Motorbike,84.0,0.26,10.2,0.09,70.0,10.0,D002_1,D002_1,HAN
