vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0003,Van,1493.0,9.78,65.03,0.14,218.0,8.0,D009_1,D009_1,HCM
V0004,Van,1485.0,9.51,60.92,0.14,196.0,12.0,D001_5,D001_5,HCM
V0012,Motorbike,87.0,0.23,14.96,0.11,137.0,8.0,D009_5,D009_5,HCM
V0014,Motorbike,63.0,0.46,9.64,0.11,151.0,10.0,D008_1,D008_1,HCM
V0015,Van,976.0,9.49,79.86,0.23,268.0,8.0,D009_3,D009_3,HCM
V0017,Bike,35.0,0.19,9.69,0.08,26.0,6.0,D008_2,D008_2,HCM
V0019,Motorbike,88.0,0.55,9.89,0.09,64.0,8.0,D008_1,D008_1,HCM
V0021,Bike,32.0,0.29,7.38,0.04,39.0,6.0,D001_5,D001_5,HCM
V0028,EV Van,841.0,10.93,55.88,0.13,202.0,10.0,D009_4,D009_4,HCM
V0029,Motorbike,78.0,0.45,13.19,0.09,123.0,10.0,D001_2,D001_2,HCM
V0031,EV Van,985.0,8.07,55.65,0.08,196.0,10.0,D008_5,D008_5,HCM
V0045,Motorbike,93.0,0.4,11.46,0.05,99.0,10.0,D001_4,D001_4,HCM
V0049,Motorbike,87.0,0.77,12.88,0.11,135.0,8.0,D001_3,D001_3,HCM
V0064,Van,833.0,9.36,50.14,0.26,286.0,10.0,D001_2,D001_2,HCM
V0067,Bike,35.0,0.1,9.27,0.08,38.0,6.0,D009_4,D009_4,HCM
V0078,Motorbike,54.0,0.23,11.29,0.07,93.0,10.0,D008_4,D008_4,HCM
V0085,Motorbike,81.0,0.64,9.94,0.08,112.0,8.0,D009_3,D009_3,HCM
V0086,Motorbike,56.0,0.25,14.39,0.09,70.0,10.0,D001_3,D001_3,HCM
V0091,Van,1376.0,10.28,51.72,0.13,181.0,10.0,D009_4,D009_4,HCM
V0093,Van,1040.0,10.19,53.93,0.27,278.0,10.0,D009_1,D009_1,HCM
V0094,Motorbike,74.0,0.3,14.1,0.06,62.0,10.0,D008_1,D008_1,HCM
