vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0001,Motorbike,75.0,0.74,11.7,0.07,140.0,8.0,D005_5,D005_5,HAN
V0002,Bike,30.0,0.24,9.69,0.03,39.0,8.0,D002_1,D002_1,HAN
V0003,Van,1493.0,9.78,65.03,0.14,218.0,8.0,D009_1,D009_1,HCM
V0004,Van,1485.0,9.51,60.92,0.14,196.0,12.0,D001_5,D001_5,HCM
V0005,Cargo Trike,105.0,0.62,11.93,0.1,68.0,9.0,D006_5,D006_5,DAN
V0006,Van,896.0,9.21,71.48,0.2,159.0,10.0,D005_1,D005_1,HAN
V0007,Bike,23.0,0.13,5.86,0.07,45.0,6.0,D003_5,D003_5,DAN
V0008,Bike,24.0,0.3,7.21,0.07,36.0,8.0,D007_1,D007_1,DAN
V0009,Bike,28.0,0.37,7.82,0.06,35.0,8.0,D002_4,D002_4,HAN
V0010,Motorbike,59.0,0.25,9.82,0.12,104.0,8.0,D007_1,D007_1,DAN
V0011,Bike,22.0,0.39,6.54,0.07,28.0,6.0,D005_2,D005_2,HAN
V0012,Motorbike,87.0,0.23,14.96,0.11,137.0,8.0,D009_5,D009_5,HCM
V0013,Van,1094.0,13.7,58.41,0.27,288.0,8.0,D004_2,D004_2,CTO
V0014,Motorbike,63.0,0.46,9.64,0.11,151.0,10.0,D008_1,D008_1,HCM
V0015,Van,976.0,9.49,79.86,0.23,268.0,8.0,D009_3,D009_3,HCM
V0016,Van,1260.0,10.58,67.6,0.26,300.0,10.0,D007_3,D007_3,DAN
V0017,Bike,35.0,0.19,9.69,0.08,26.0,6.0,D008_2,D008_2,HCM
V0018,Bike,35.0,0.34,5.29,0.07,34.0,6.0,D006_2,D006_2,DAN
V0019,Motorbike,88.0,0.55,9.89,0.09,64.0,8.0,D008_1,D008_1,HCM
V0020,Motorbike,85.0,0.38,14.68,0.1,157.0,8.0,D004_1,D004_1,CTO
V0021,Bike,32.0,0.29,7.38,0.04,39.0,6.0,D001_5,D001_5,HCM
V0022,Motorbike,88.0,0.4,13.98,0.05,97.0,8.0,D010_3,D010_3,CTO
V0023,Motorbike,86.0,0.71,13.56,0.07,99.0,8.0,D003_4,D003_4,DAN
V0024,Motorbike,70.0,0.26,10.24,0.06,147.0,8.0,D005_1,D005_1,HAN
V0025,Van,1032.0,10.74,68.97,0.19,273.0,8.0,D003_1,D003_1,DAN
V0026,EV Van,1067.0,8.62,61.03,0.12,223.0,10.0,D007_1,D007_1,DAN
V0027,Motorbike,97.0,0.37,11.99,0.07,108.0,10.0,D005_3,D005_3,HAN
V0028,EV Van,841.0,10.93,55.88,0.13,202.0,10.0,D009_4,D009_4,HCM
V0029,Motorbike,78.0,0.45,13.19,0.09,123.0,10.0,D001_2,D001_2,HCM
V0030,EV Van,1139.0,10.06,44.3,0.1,209.0,10.0,D002_3,D002_3,HAN
V0031,EV Van,985.0,8.07,55.65,0.08,196.0,10.0,D008_5,D008_5,HCM
V0032,Bike,39.0,0.21,9.28,0.08,26.0,6.0,D010_4,D010_4,CTO
V0033,Bike,26.0,0.11,9.71,0.08,20.0,6.0,D002_3,D002_3,HAN
V0034,Bike,35.0,0.26,8.23,0.05,39.0,8.0,D002_2,D002_2,HAN
V0035,EV Van,1192.0,10.56,60.11,0.15,219.0,8.0,D007_2,D007_2,DAN
V0036,Van,829.0,8.62,60.91,0.25,216.0,8.0,D005_1,D005_1,HAN
V0037,Bike,33.0,0.31,7.99,0.08,31.0,6.0,D006_5,D006_5,DAN
V0038,Van,1359.0,13.22,50.35,0.15,155.0,12.0,D007_2,D007_2,DAN
V0039,Van,914.0,12.85,50.25,0.24,183.0,12.0,D007_4,D007_4,DAN
V0040,EV Van,779.0,10.62,57.2,0.14,179.0,10.0,D005_5,D005_5,HAN
V0041,Motorbike,86.0,0.71,10.67,0.11,114.0,8.0,D006_5,D006_5,DAN
V0042,Van,926.0,13.21,64.61,0.18,343.0,12.0,D007_5,D007_5,DAN
V0043,Motorbike,69.0,0.21,13.43,0.12,156.0,8.0,D004_5,D004_5,CTO
V0044,Motorbike,91.0,0.8,11.58,0.05,107.0,8.0,D003_1,D003_1,DAN
V0045,Motorbike,93.0,0.4,11.46,0.05,99.0,10.0,D001_4,D001_4,HCM
V0046,Motorbike,71.0,0.51,14.41,0.05,126.0,10.0,D010_2,D010_2,CTO
V0047,Bike,22.0,0.35,9.53,0.04,28.0,8.0,D004_4,D004_4,CTO
V0048,Van,1439.0,12.96,52.81,0.28,326.0,12.0,D003_3,D003_3,DAN
V0049,Motorbike,87.0,0.77,12.88,0.11,135.0,8.0,D001_3,D001_3,HCM
V0050,Motorbike,86.0,0.67,11.72,0.08,109.0,8.0,D004_2,D004_2,CTO
V0051,Bike,32.0,0.19,5.51,0.03,26.0,8.0,D010_1,D010_1,CTO
V0052,EV Van,862.0,8.51,40.59,0.16,201.0,8.0,D004_3,D004_3,CTO
V0053,Van,1258.0,11.79,53.97,0.14,211.0,8.0,D006_5,D006_5,DAN
V0054,Motorbike,64.0,0.53,9.7,0.09,98.0,8.0,D006_3,D006_3,DAN
V0055,Bike,39.0,0.1,9.49,0.07,28.0,8.0,D006_5,D006_5,DAN
V0056,Van,1382.0,10.45,47.73,0.25,165.0,10.0,D005_2,D005_2,HAN
V0057,Motorbike,62.0,0.66,12.54,0.11,152.0,10.0,D002_3,D002_3,HAN
V0058,Van,1242.0,10.05,55.84,0.18,291.0,12.0,D006_2,D006_2,DAN
V0059,Bike,29.0,0.25,6.79,0.06,35.0,6.0,D006_4,D006_4,DAN
V0060,EV Van,787.0,6.28,56.94,0.11,172.0,8.0,D002_5,D002_5,HAN
V0061,Van,1498.0,9.72,72.07,0.19,195.0,10.0,D007_4,D007_4,DAN
V0062,Motorbike,94.0,0.46,8.35,0.1,139.0,8.0,D004_5,D004_5,CTO
V0063,Bike,37.0,0.17,6.33,0.04,27.0,6.0,D006_1,D006_1,DAN
V0064,Van,833.0,9.36,50.14,0.26,286.0,10.0,D001_2,D001_2,HCM
V0065,EV Van,889.0,6.73,61.87,0.14,218.0,9.0,D006_5,D006_5,DAN
V0066,Motorbike,95.0,0.26,9.51,0.1,126.0,10.0,D003_4,D003_4,DAN
V0067,Bike,35.0,0.1,9.27,0.08,38.0,6.0,D009_4,D009_4,HCM
V0068,Motorbike,51.0,0.25,11.14,0.12,71.0,10.0,D007_4,D007_4,DAN
V0069,Motorbike,96.0,0.45,14.79,0.06,94.0,8.0,D002_1,D002_1,HAN
V0070,EV Van,837.0,7.79,44.78,0.15,217.0,8.0,D004_3,D004_3,CTO
V0071,Bike,32.0,0.22,8.58,0.04,47.0,6.0,D002_4,D002_4,HAN
V0072,Motorbike,64.0,0.34,9.12,0.05,140.0,8.0,D002_1,D002_1,HAN
V0073,Cargo Trike,90.0,0.63,10.1,0.12,67.0,10.0,D007_5,D007_5,DAN
V0074,Motorbike,51.0,0.68,12.07,0.09,90.0,10.0,D005_3,D005_3,HAN
V0075,Motorbike,85.0,0.52,9.49,0.1,112.0,10.0,D002_4,D002_4,HAN
V0076,EV Van,1196.0,9.96,48.46,0.15,198.0,8.0,D002_1,D002_1,HAN
V0077,Bike,26.0,0.11,6.53,0.04,27.0,8.0,D005_3,D005_3,HAN
V0078,Motorbike,54.0,0.23,11.29,0.07,93.0,10.0,D008_4,D008_4,HCM
V0079,Motorbike,65.0,0.41,10.82,0.06,88.0,10.0,D006_3,D006_3,DAN
V0080,Motorbike,60.0,0.41,12.46,0.08,101.0,8.0,D003_3,D003_3,DAN
V0081,EV Van,872.0,7.54,42.83,0.11,195.0,9.0,D005_1,D005_1,HAN
V0082,EV Van,871.0,9.48,63.41,0.14,192.0,10.0,D005_2,D005_2,HAN
V0083,EV Van,932.0,6.66,47.68,0.1,150.0,10.0,D002_3,D002_3,HAN
V0084,Van,1490.0,10.53,73.71,0.18,291.0,10.0,D003_5,D003_5,DAN
V0085,Motorbike,81.0,0.64,9.94,0.08,112.0,8.0,D009_3,D009_3,HCM
V0086,Motorbike,56.0,0.25,14.39,0.09,70.0,10.0,D001_3,D001_3,HCM
V0087,Van,912.0,12.5,48.97,0.26,235.0,8.0,D010_5,D010_5,CTO
V0088,Bike,38.0,0.25,5.25,0.08,41.0,6.0,D010_3,D010_3,CTO
V0089,EV Van,723.0,10.64,53.26,0.15,201.0,10.0,D004_4,D004_4,CTO
V0090,Bike,23.0,0.18,5.31,0.08,31.0,6.0,D006_3,D006_3,DAN
V0091,Van,1376.0,10.28,51.72,0.13,181.0,10.0,D009_4,D009_4,HCM
V0092,Motorbike,54.0,0.38,10.43,0.09,93.0,8.0,D005_2,D005_2,HAN
V0093,Van,1040.0,10.19,53.93,0.27,278.0,10.0,D009_1,D009_1,HCM
V0094,Motorbike,74.0,0.3,14.1,0.06,62.0,10.0,D008_1,D008_1,HCM
V0095,Van,1048.0,8.36,56.1,0.2,248.0,8.0,D007_3,D007_3,DAN
V0096,Motorbike,70.0,0.42,13.48,0.11,138.0,10.0,D002_2,D002_2,HAN
V0097,Van,1235.0,8.05,55.62,0.18,301.0,10.0,D006_5,D006_5,DAN
V0098,Bike,29.0,0.21,5.96,0.03,24.0,8.0,D008_3,D008_3,HCM
V0099,Motorbike,81.0,0.57,14.38,0.07,115.0,8.0,D008_5,D008_5,HCM
V0100,Motorbike,59.0,0.68,14.47,0.07,96.0,10.0,D005_4,D005_4,HAN
