Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D007_1,C000001,538.983,1990.1,High,None
D007_1,C000002,646.172,2385.9,High,None
D007_1,C000003,639.704,2362.0,High,None
D007_1,C000004,541.081,1560.8,Medium,One-Way
D007_1,C000005,543.886,1568.9,Medium,None
D007_1,C000006,640.508,2365.0,High,None
D007_1,C000007,740.58,1709.0,Low,None
D007_1,C000008,530.472,1224.2,Low,None
D007_1,C000009,540.439,1559.0,Medium,One-Way
D007_1,C000010,623.418,1798.3,Medium,None
D007_1,C000011,641.493,1850.5,Medium,None
D007_1,C000012,535.967,1546.1,Medium,One-Way
D007_1,C000013,639.045,1474.7,Low,None
D007_1,C000014,643.798,1857.1,Medium,No Heavy Trucks
D007_1,C000015,646.413,1864.7,Medium,None
D007_1,C000016,538.843,1554.4,Medium,None
D007_1,C000017,629.364,1815.5,Medium,None
D007_1,C000018,640.365,1477.8,Low,None
D007_1,C000019,548.289,2024.5,High,None
D007_1,C000020,537.594,1985.0,High,None
D007_1,C000021,529.787,1528.2,Medium,None
D007_1,C000022,78.191,225.6,Medium,None
D007_1,C000023,545.218,2013.1,High,None
D007_1,C000024,529.963,1223.0,Low,None
D007_1,C000025,535.037,1234.7,Low,None
D007_1,C000026,630.953,1820.1,Medium,None
D007_1,C000027,637.533,1839.0,Medium,None
D007_1,C000028,643.816,1857.2,Medium,One-Way
D007_1,C000029,643.201,2374.9,High,None
D007_1,C000030,536.515,1547.6,Medium,None
D007_1,C000031,643.768,1857.0,Medium,No Heavy Trucks
D007_1,C000032,640.269,1477.5,Low,None
D007_1,C000033,648.074,1495.6,Low,None
D007_1,C000034,548.231,1581.4,Medium,None
D007_1,C000035,632.312,1459.2,Low,None
D007_1,C000036,642.885,1483.6,Low,No Heavy Trucks
D007_1,C000037,631.746,1822.3,Medium,None
D007_1,C000038,76.605,282.8,High,None
D007_1,C000039,735.808,2122.5,Medium,None
D007_1,C000040,525.63,1213.0,Low,None
D007_1,C000041,538.781,1243.3,Low,None
D007_1,C000042,647.946,1869.1,Medium,None
D007_1,C000043,635.281,1466.0,Low,None
D007_1,C000044,626.748,1807.9,Medium,One-Way
D007_1,C000045,75.11,173.3,Low,No Heavy Trucks
D007_1,C000046,645.44,1489.5,Low,None
D007_1,C000047,531.68,1227.0,Low,None
D007_1,C000048,741.444,2138.8,Medium,None
D007_1,C000049,544.781,1571.5,Medium,None
D007_1,C000050,534.097,1540.7,Medium,None
D007_1,C000051,651.664,1879.8,Medium,None
D007_1,C000052,73.304,211.5,Medium,None
D007_1,C000053,530.935,1531.5,Medium,None
D007_1,C000054,535.576,1544.9,Medium,None
D007_1,C000055,634.875,1831.4,Medium,None
D007_1,C000056,625.191,1442.7,Low,None
D007_1,C000057,649.291,1498.4,Low,None
D007_1,C000058,526.126,1517.7,Medium,None
D007_1,C000059,85.125,196.4,Low,One-Way
D007_1,C000060,554.022,1598.1,Medium,None
D007_1,C000061,545.492,2014.1,High,One-Way
D007_1,C000062,549.556,1268.2,Low,None
D007_1,C000063,532.448,1228.7,Low,None
D007_1,C000064,540.457,1995.5,High,None
D007_1,C000065,74.157,171.1,Low,None
D007_1,C000066,635.318,1832.6,Medium,One-Way
D007_1,C000067,535.494,1235.8,Low,No Heavy Trucks
D007_1,C000068,628.37,1812.6,Medium,One-Way
D007_1,C000069,624.304,1440.7,Low,None
D007_1,C000070,541.917,1250.6,Low,None
D007_1,C000071,637.743,1839.6,Medium,None
D007_1,C000072,88.415,255.0,Medium,None
D007_1,C000073,532.731,1967.0,High,No Heavy Trucks
D007_1,C000074,534.993,1543.2,Medium,One-Way
D007_1,C000075,631.849,1822.6,Medium,One-Way
D007_1,C000076,552.977,2041.8,High,None
D007_1,C000077,533.903,1540.1,Medium,One-Way
D007_1,C000078,638.632,1842.2,Medium,None
D007_1,C000079,642.236,1482.1,Low,None
D007_1,C000080,543.416,1567.5,Medium,None
D007_1,C000081,648.137,1869.6,Medium,None
D007_1,C000082,540.295,1558.5,Medium,No Heavy Trucks
D007_1,C000083,550.951,1589.3,Medium,None
D007_1,C000084,645.827,1490.4,Low,None
D007_1,C000085,741.191,1710.4,Low,None
D007_1,C000086,85.36,197.0,Low,None
D007_1,C000087,648.143,1869.6,Medium,None
D007_1,C000088,633.345,1827.0,Medium,None
D007_1,C000089,627.149,1809.1,Medium,None
D007_1,C000090,643.866,1857.3,Medium,None
D007_1,C000091,541.379,1561.7,Medium,None
D007_1,C000092,743.603,1716.0,Low,None
D007_1,C000093,642.825,1854.3,Medium,None
D007_1,C000094,534.93,1543.1,Medium,None
D007_1,C000095,526.037,1942.3,High,None
D007_1,C000096,552.49,2040.0,High,None
D007_1,C000097,652.936,1506.8,Low,None
D007_1,C000098,639.711,2362.0,High,None
D007_1,C000099,643.757,1857.0,Medium,None
D007_1,C000100,630.192,1454.3,Low,None
D007_1,C000101,549.162,1267.3,Low,One-Way
D007_1,C000102,541.294,1998.6,High,None
D007_1,C000103,625.906,1444.4,Low,None
D007_1,C000104,651.964,1504.5,Low,No Heavy Trucks
D007_1,C000105,648.014,1869.3,Medium,None
D007_1,C000106,537.291,1549.9,Medium,None
D007_1,C000107,79.379,183.2,Low,None
D007_1,C000108,548.224,2024.2,High,None
D007_1,C000109,79.225,182.8,Low,None
D007_1,C000110,634.284,1463.7,Low,None
D007_1,C000111,648.104,1869.5,Medium,No Heavy Trucks
D007_1,C000112,647.885,1868.9,Medium,None
D007_1,C000113,634.675,1464.6,Low,None
D007_1,C000114,86.699,200.1,Low,None
D007_1,C000115,643.13,2374.6,High,None
D007_1,C000116,548.024,2023.5,High,None
D007_1,C000117,533.046,1230.1,Low,None
D007_1,C000118,524.814,1937.8,High,None
D007_1,C000119,633.1,1826.3,Medium,No Heavy Trucks
D007_1,C000120,736.934,2125.8,Medium,None
D007_1,C000121,86.176,248.6,Medium,None
D007_1,C000122,627.441,1809.9,Medium,None
D007_1,C000123,644.765,1859.9,Medium,None
D007_1,C000124,532.839,1967.4,High,None
D007_1,C000125,87.924,202.9,Low,None
D007_1,C000126,740.299,1708.4,Low,None
D007_1,C000127,638.969,1474.5,Low,None
D007_1,C000128,542.609,1565.2,Medium,None
D007_1,C000129,79.275,228.7,Medium,None
D007_1,C000130,628.797,2321.7,High,None
D007_1,C000131,531.529,1533.3,Medium,One-Way
D007_1,C000132,641.774,1481.0,Low,No Heavy Trucks
D007_1,C000133,546.934,1262.2,Low,None
D007_1,C000134,89.065,205.5,Low,None
D007_1,C000135,745.698,2753.3,High,None
D007_1,C000136,647.413,1867.5,Medium,None
D007_1,C000137,632.231,1459.0,Low,None
D007_1,C000138,627.885,1449.0,Low,None
D007_1,C000139,530.093,1529.1,Medium,None
D007_1,C000140,531.557,1533.3,Medium,No Heavy Trucks
D007_1,C000141,651.437,1879.1,Medium,None
D007_1,C000142,643.295,1855.7,Medium,None
D007_1,C000143,737.62,2127.7,Medium,None
